generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler2	5552	3225	1	0.0322581	0.724251	
RootPopulationSizeScaler3	4442	4366	1	0.0322581	0.31543	
LeafPopulationSizeScaler3	6065	2698	1	0.0322581	0.887526	
RootPopulationSizeScaler4	4248	4562	1	0.0322581	0.321975	
LeafPopulationSizeScaler4	4902	3951	1	0.0322581	0.636175	
RootPopulationSizeScaler5	4437	4366	1	0.0322581	0.304408	
LeafPopulationSizeScaler5	5648	3155	1	0.0322581	0.810061	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11182	0	10	0.322581	none	
TimeSizeRateMixer	15198	13670	5	0.16129	0.233129	
TimeRootSizeMixer	8522	8763	3	0.0967742	0.265228	
EventTimeScaler	57656	50635	1	0.0322581	0.562592	
RootPopulationSizeScaler0	5574	4700	1	0.0322581	0.285723	
LeafPopulationSizeScaler0	6087	4265	1	0.0322581	0.960431	
RootPopulationSizeScaler1	5187	5125	1	0.0322581	0.257538	
LeafPopulationSizeScaler1	6177	4117	1	0.0322581	0.261182	
RootPopulationSizeScaler2	5098	5224	1	0.0322581	0.310871	
LeafPopulationSizeScaler2	6415	3875	1	0.0322581	0.738919	
RootPopulationSizeScaler3	5148	5180	1	0.0322581	0.316968	
LeafPopulationSizeScaler3	7008	3243	1	0.0322581	0.914864	
RootPopulationSizeScaler4	4934	5364	1	0.0322581	0.323312	
LeafPopulationSizeScaler4	5657	4681	1	0.0322581	0.643019	
RootPopulationSizeScaler5	5082	5203	1	0.0322581	0.304768	
LeafPopulationSizeScaler5	6505	3776	1	0.0322581	0.827581	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	12725	0	10	0.322581	none	
TimeSizeRateMixer	17241	15743	5	0.16129	0.23477	
TimeRootSizeMixer	9661	10061	3	0.0967742	0.26665	
EventTimeScaler	65406	58239	1	0.0322581	0.567405	
RootPopulationSizeScaler0	6321	5435	1	0.0322581	0.288318	
LeafPopulationSizeScaler0	6912	4908	1	0.0322581	0.975531	
RootPopulationSizeScaler1	5927	5863	1	0.0322581	0.259233	
LeafPopulationSizeScaler1	7016	4741	1	0.0322581	0.265494	
RootPopulationSizeScaler2	5834	5952	1	0.0322581	0.313233	
LeafPopulationSizeScaler2	7249	4472	1	0.0322581	0.751039	
RootPopulationSizeScaler3	5832	5945	1	0.0322581	0.318401	
LeafPopulationSizeScaler3	7922	3775	1	0.0322581	0.937534	
RootPopulationSizeScaler4	5595	6160	1	0.0322581	0.323936	
LeafPopulationSizeScaler4	6380	5380	1	0.0322581	0.649104	
RootPopulationSizeScaler5	5773	5973	1	0.0322581	0.305875	
LeafPopulationSizeScaler5	7346	4395	1	0.0322581	0.842531	
generation 45000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	14343	0	10	0.322581	none	
TimeSizeRateMixer	19218	17773	5	0.16129	0.236163	
TimeRootSizeMixer	10844	11396	3	0.0967742	0.267811	
EventTimeScaler	73057	66104	1	0.0322581	0.571358	
RootPopulationSizeScaler0	7063	6129	1	0.0322581	0.290537	
LeafPopulationSizeScaler0	7667	5606	1	0.0322581	0.985871	
RootPopulationSizeScaler1	6623	6608	1	0.0322581	0.260292	
LeafPopulationSizeScaler1	7800	5398	1	0.0322581	0.268742	
RootPopulationSizeScaler2	6503	6721	1	0.0322581	0.314604	
LeafPopulationSizeScaler2	8077	5105	1	0.0322581	0.762462	
RootPopulationSizeScaler3	6488	6750	1	0.0322581	0.31892	
LeafPopulationSizeScaler3	8809	4349	1	0.0322581	0.955849	
RootPopulationSizeScaler4	6273	6935	1	0.0322581	0.325095	
LeafPopulationSizeScaler4	7132	6064	1	0.0322581	0.654038	
RootPopulationSizeScaler5	6466	6706	1	0.0322581	0.30731	
LeafPopulationSizeScaler5	8197	5018	1	0.0322581	0.85542	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15924	0	10	0.322581	none	
TimeSizeRateMixer	21195	19820	5	0.16129	0.237353	
TimeRootSizeMixer	12029	12590	3	0.0967742	0.269262	
EventTimeScaler	80593	73630	1	0.0322581	0.574735	
RootPopulationSizeScaler0	7799	6833	1	0.0322581	0.292624	
LeafPopulationSizeScaler0	8436	6287	1	0.0322581	0.995634	
RootPopulationSizeScaler1	7321	7347	1	0.0322581	0.261257	
LeafPopulationSizeScaler1	8582	6073	1	0.0322581	0.271525	
RootPopulationSizeScaler2	7181	7496	1	0.0322581	0.315562	
LeafPopulationSizeScaler2	8841	5799	1	0.0322581	0.770143	
RootPopulationSizeScaler3	7165	7538	1	0.0322581	0.320047	
LeafPopulationSizeScaler3	9688	4900	1	0.0322581	0.97206	
RootPopulationSizeScaler4	6936	7729	1	0.0322581	0.325455	
LeafPopulationSizeScaler4	7883	6769	1	0.0322581	0.658483	
RootPopulationSizeScaler5	7130	7476	1	0.0322581	0.308075	
LeafPopulationSizeScaler5	8988	5705	1	0.0322581	0.864549	
generation 55000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	17579	0	10	0.322581	none	
TimeSizeRateMixer	23080	21836	5	0.16129	0.238266	
TimeRootSizeMixer	13069	13780	3	0.0967742	0.270037	
EventTimeScaler	88247	81272	1	0.0322581	0.577843	
RootPopulationSizeScaler0	8511	7524	1	0.0322581	0.29394	
LeafPopulationSizeScaler0	9186	6929	1	0.0322581	1.00436	
RootPopulationSizeScaler1	7977	8081	1	0.0322581	0.262217	
LeafPopulationSizeScaler1	9335	6719	1	0.0322581	0.27398	
RootPopulationSizeScaler2	7842	8240	1	0.0322581	0.316751	
LeafPopulationSizeScaler2	9622	6404	1	0.0322581	0.777757	
RootPopulationSizeScaler3	7799	8291	1	0.0322581	0.320962	
LeafPopulationSizeScaler3	10526	5457	1	0.0322581	0.985956	
RootPopulationSizeScaler4	7548	8514	1	0.0322581	0.325772	
LeafPopulationSizeScaler4	8551	7504	1	0.0322581	0.660707	
RootPopulationSizeScaler5	7808	8196	1	0.0322581	0.309231	
LeafPopulationSizeScaler5	9759	6331	1	0.0322581	0.873288	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	19230	0	10	0.322581	none	
TimeSizeRateMixer	25114	23771	5	0.16129	0.239656	
TimeRootSizeMixer	14252	15105	3	0.0967742	0.270803	
EventTimeScaler	96015	89140	1	0.0322581	0.58076	
RootPopulationSizeScaler0	9232	8236	1	0.0322581	0.295503	
LeafPopulationSizeScaler0	9987	7570	1	0.0322581	1.01362	
RootPopulationSizeScaler1	8644	8829	1	0.0322581	0.262846	
LeafPopulationSizeScaler1	10129	7358	1	0.0322581	0.27624	
RootPopulationSizeScaler2	8494	9051	1	0.0322581	0.317077	
LeafPopulationSizeScaler2	10353	7101	1	0.0322581	0.782647	
RootPopulationSizeScaler3	8463	9075	1	0.0322581	0.321537	
LeafPopulationSizeScaler3	11381	6046	1	0.0322581	0.999157	
RootPopulationSizeScaler4	8179	9324	1	0.0322581	0.326368	
LeafPopulationSizeScaler4	9262	8221	1	0.0322581	0.66375	
RootPopulationSizeScaler5	8493	8954	1	0.0322581	0.31054	
LeafPopulationSizeScaler5	10556	6970	1	0.0322581	0.881956	
generation 65000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20789	0	10	0.322581	none	
TimeSizeRateMixer	27100	25892	5	0.16129	0.240519	
TimeRootSizeMixer	15344	16426	3	0.0967742	0.271171	
EventTimeScaler	103468	96929	1	0.0322581	0.583099	
RootPopulationSizeScaler0	9932	8997	1	0.0322581	0.296744	
LeafPopulationSizeScaler0	10765	8251	1	0.0322581	1.02148	
RootPopulationSizeScaler1	9380	9558	1	0.0322581	0.263889	
LeafPopulationSizeScaler1	10889	8056	1	0.0322581	0.277789	
RootPopulationSizeScaler2	9199	9786	1	0.0322581	0.318032	
LeafPopulationSizeScaler2	11145	7772	1	0.0322581	0.789135	
RootPopulationSizeScaler3	9130	9856	1	0.0322581	0.32236	
LeafPopulationSizeScaler3	12267	6610	1	0.0322581	1.01209	
RootPopulationSizeScaler4	8811	10150	1	0.0322581	0.326316	
LeafPopulationSizeScaler4	9989	8950	1	0.0322581	0.666527	
RootPopulationSizeScaler5	9176	9724	1	0.0322581	0.31114	
LeafPopulationSizeScaler5	11350	7621	1	0.0322581	0.889431	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	22347	0	10	0.322581	none	
TimeSizeRateMixer	29171	27990	5	0.16129	0.241548	
TimeRootSizeMixer	16451	17723	3	0.0967742	0.271491	
EventTimeScaler	111108	104691	1	0.0322581	0.585557	
RootPopulationSizeScaler0	10635	9753	1	0.0322581	0.297642	
LeafPopulationSizeScaler0	11541	8945	1	0.0322581	1.02904	
RootPopulationSizeScaler1	10059	10344	1	0.0322581	0.264504	
LeafPopulationSizeScaler1	11647	8743	1	0.0322581	0.2795	
RootPopulationSizeScaler2	9873	10569	1	0.0322581	0.318638	
LeafPopulationSizeScaler2	11954	8403	1	0.0322581	0.795587	
