generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler3	3272	3020	1	0.0285714	0.301603	
LeafPopulationSizeScaler3	4517	1770	1	0.0285714	0.48974	
RootPopulationSizeScaler4	3427	2905	1	0.0285714	0.298673	
LeafPopulationSizeScaler4	4253	2077	1	0.0285714	1.05417	
RootPopulationSizeScaler5	3204	3136	1	0.0285714	0.308161	
LeafPopulationSizeScaler5	3681	2651	1	0.0285714	0.508618	
RootPopulationSizeScaler6	3208	3078	1	0.0285714	0.303151	
LeafPopulationSizeScaler6	4265	2013	1	0.0285714	0.881001	
RootPopulationSizeScaler7	3401	2928	1	0.0285714	0.269486	
LeafPopulationSizeScaler7	3704	2609	1	0.0285714	0.593766	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8589	0	10	0.285714	none	
TimeSizeRateMixer	12781	12247	5	0.142857	0.219129	
TimeRootSizeMixer	7177	7515	3	0.0857143	0.223113	
EventTimeScaler	50858	44955	1	0.0285714	0.540209	
RootPopulationSizeScaler0	3698	3884	1	0.0285714	0.221629	
LeafPopulationSizeScaler0	4140	3447	1	0.0285714	0.261451	
RootPopulationSizeScaler1	3786	3814	1	0.0285714	0.287616	
LeafPopulationSizeScaler1	3792	3875	1	0.0285714	0.345829	
RootPopulationSizeScaler2	3964	3641	1	0.0285714	0.297226	
LeafPopulationSizeScaler2	4517	3110	1	0.0285714	0.61251	
RootPopulationSizeScaler3	3893	3699	1	0.0285714	0.304004	
LeafPopulationSizeScaler3	5363	2251	1	0.0285714	0.508925	
RootPopulationSizeScaler4	4062	3566	1	0.0285714	0.30106	
LeafPopulationSizeScaler4	5030	2608	1	0.0285714	1.08636	
RootPopulationSizeScaler5	3837	3803	1	0.0285714	0.310827	
LeafPopulationSizeScaler5	4331	3309	1	0.0285714	0.514395	
RootPopulationSizeScaler6	3868	3727	1	0.0285714	0.306638	
LeafPopulationSizeScaler6	5031	2529	1	0.0285714	0.908846	
RootPopulationSizeScaler7	4036	3590	1	0.0285714	0.272537	
LeafPopulationSizeScaler7	4407	3200	1	0.0285714	0.604452	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10048	0	10	0.285714	none	
TimeSizeRateMixer	14916	14505	5	0.142857	0.220612	
TimeRootSizeMixer	8390	8779	3	0.0857143	0.224739	
EventTimeScaler	59070	53115	1	0.0285714	0.545463	
RootPopulationSizeScaler0	4302	4579	1	0.0285714	0.222393	
LeafPopulationSizeScaler0	4796	4063	1	0.0285714	0.264545	
RootPopulationSizeScaler1	4378	4510	1	0.0285714	0.288518	
LeafPopulationSizeScaler1	4382	4582	1	0.0285714	0.34693	
RootPopulationSizeScaler2	4603	4291	1	0.0285714	0.300364	
LeafPopulationSizeScaler2	5263	3658	1	0.0285714	0.624026	
RootPopulationSizeScaler3	4521	4364	1	0.0285714	0.306513	
LeafPopulationSizeScaler3	6194	2716	1	0.0285714	0.52496	
RootPopulationSizeScaler4	4706	4223	1	0.0285714	0.304044	
LeafPopulationSizeScaler4	5838	3108	1	0.0285714	1.1153	
RootPopulationSizeScaler5	4463	4460	1	0.0285714	0.313022	
LeafPopulationSizeScaler5	4995	3927	1	0.0285714	0.520804	
RootPopulationSizeScaler6	4489	4384	1	0.0285714	0.308298	
LeafPopulationSizeScaler6	5810	3048	1	0.0285714	0.932657	
RootPopulationSizeScaler7	4683	4240	1	0.0285714	0.27515	
LeafPopulationSizeScaler7	5095	3797	1	0.0285714	0.614097	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11442	0	10	0.285714	none	
TimeSizeRateMixer	17104	16785	5	0.142857	0.222116	
TimeRootSizeMixer	9571	10094	3	0.0857143	0.226056	
EventTimeScaler	67013	61167	1	0.0285714	0.550054	
RootPopulationSizeScaler0	4893	5309	1	0.0285714	0.222674	
LeafPopulationSizeScaler0	5484	4697	1	0.0285714	0.267063	
RootPopulationSizeScaler1	4977	5230	1	0.0285714	0.289074	
LeafPopulationSizeScaler1	5003	5282	1	0.0285714	0.348444	
RootPopulationSizeScaler2	5260	4978	1	0.0285714	0.302708	
LeafPopulationSizeScaler2	5929	4302	1	0.0285714	0.630828	
RootPopulationSizeScaler3	5167	5040	1	0.0285714	0.308459	
LeafPopulationSizeScaler3	6982	3259	1	0.0285714	0.536172	
