number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
6	0.363571	0.363571	0.321148	1.20756
7	0.238929	0.6025	0.208384	1.19259
5	0.229643	0.832143	0.259785	0.849385
4	0.0846429	0.916786	0.119407	0.681938
8	0.0678571	0.984643	0.055858	1.23045
3	0.0153571	1	0.030985	0.487765
1	<0.000357143	1	0.000204	<1.75097
2	<0.000357143	1	0.004229	<0.0841238
