generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_N1	ln_likelihood_N1	ln_prior_N1	root_height_N1	mutation_rate_N1	freq_1_N1	pop_size_N1	pop_size_S1	pop_size_root_N1	root_height_index_E2	ln_likelihood_E2	ln_prior_E2	root_height_E2	mutation_rate_E2	freq_1_E2	pop_size_E2	pop_size_W2	pop_size_root_E2	root_height_index_N3	ln_likelihood_N3	ln_prior_N3	root_height_N3	mutation_rate_N3	freq_1_N3	pop_size_N3	pop_size_S3	pop_size_root_N3	root_height_index_E4	ln_likelihood_E4	ln_prior_E4	root_height_E4	mutation_rate_E4	freq_1_E4	pop_size_E4	pop_size_W4	pop_size_root_E4	root_height_index_S5	ln_likelihood_S5	ln_prior_S5	root_height_S5	mutation_rate_S5	freq_1_S5	pop_size_S5	pop_size_N5	pop_size_root_S5	root_height_index_S6	ln_likelihood_S6	ln_prior_S6	root_height_S6	mutation_rate_S6	freq_1_S6	pop_size_S6	pop_size_N6	pop_size_root_S6	root_height_index_S7	ln_likelihood_S7	ln_prior_S7	root_height_S7	mutation_rate_S7	freq_1_S7	pop_size_S7	pop_size_N7	pop_size_root_S7	root_height_index_E8	ln_likelihood_E8	ln_prior_E8	root_height_E8	mutation_rate_E8	freq_1_E8	pop_size_E8	pop_size_W8	pop_size_root_E8
0	-14855.4358544421957	107.911020338617064	8	7.5	0	-3880.45833907608721	10.6976560094006459	0.00215310447613377854	1	0.5	0.00522965301579835559	0.00522965301579835559	0.00564993917380978046	1	-4029.93199705066218	8.56291512183413062	0.00330591946881426523	1	0.5	0.00745321685979322829	0.00745321685979322829	0.00786055616697404688	2	-999.589389189964095	9.02180225721509998	0.0153417899171556932	1	0.5	0.00594313689455849576	0.00594313689455849576	0.0049472633364559971	3	-1402.33391069307595	6.31084049996432839	0.00525409214652559388	1	0.5	0.0092611480112992587	0.0092611480112992587	0.00868677518602790563	4	-457.27988481958721	11.263371355312259	0.00267391465699618738	1	0.5	0.00164176709467163504	0.00164176709467163504	0.00157549041341625037	5	-1234.23569353858602	10.3182108756517437	0.0149753895558673335	1	0.5	0.00469651186604908445	0.00469651186604908445	0.00540802313029685715	6	-800.685861680040489	11.1672741947778604	0.00150852583151711572	1	0.5	0.00472848751072730156	0.00472848751072730156	0.00506600329205999372	7	-2050.9207783941938	11.3122748549932481	0.00180086623117208856	1	0.5	0.00166544704608152512	0.00166544704608152512	0.00160399658698996
50	-14322.0253949125599	86.0049936711407526	5	7.5	0	-3663.63575714371518	8.17208954455136194	0.0122913833861335881	1	0.5	0.00515718823792314218	0.00577396808610819261	0.00677428851351447297	1	-3802.82066090959688	8.61725383259679134	0.0259749992799565635	1	0.5	0.00713714656448818409	0.00775599509990134578	0.00697270227634603883	1	-992.515810044532373	10.0557489789204908	0.0259749992799565635	1	0.5	0.0055854979446697383	0.00545624559128295508	0.00481074427256074702	2	-1358.14726571574897	7.2065809580079403	0.0126440282511840595	1	0.5	0.00781733322496029268	0.00891357565249974344	0.00754723950042082356	3	-456.232437371961851	11.0261094963927633	0.00506249578122866008	1	0.5	0.00160557077724977361	0.00144796488635775774	0.00145493994156271878	1	-1227.32691576339721	9.65968430443414761	0.0259749992799565635	1	0.5	0.00521792479663296845	0.00512655785199991974	0.0060560890721106592	4	-784.570827015872169	11.7183839824809581	0.0110395132156738251	1	0.5	0.00432652826902690107	0.00440259247356740609	0.00439184306734674047	3	-2036.7757209477345	11.459421606319129	0.00506249578122866008	1	0.5	0.00185070389804602945	0.00171678626041700489	0.00182861089852545526
100	-14283.1162189419738	77.8924710886831662	5	7.5	0	-3650.59400850470956	2.79681311724860393	0.0125546826085897369	1	0.5	0.00552310618144035304	0.00622106428026129258	0.00841502298014757018	1	-3798.63107585099806	8.38775537014265637	0.0361991694081636589	1	0.5	0.00704237690550450161	0.00844692499094217009	0.00766394208370727633	2	-993.121715655541948	11.1627752359311607	0.0138976742992461995	1	0.5	0.00485821304304093725	0.00513027734688851177	0.00518757960658219365	0	-1338.86266602256342	6.81983483809766255	0.0125546826085897369	1	0.5	0.00729281692269153573	0.00798385847798769102	0.00623989894211856959	3	-459.381772961310503	11.0790031698984315	0.00972632689917098808	1	0.5	0.00164708150142131799	0.00151254001818163192	0.0014883942279891951	1	-1225.89772667580201	8.65940504821994139	0.0361991694081636589	1	0.5	0.00498997154563244651	0.0045468801169318146	0.00593169521250061678	3	-782.810922987148274	11.7160540633602288	0.00972632689917098808	1	0.5	0.00398081657374052111	0.00434858866738382314	0.00433660659831426511	4	-2033.81633028389797	11.283330205768511	0.00872530416761846568	1	0.5	0.00200976678512897232	0.00152097374571985708	0.00165086876163529476
150	-14234.985125414858	78.6850319571258581	4	7.5	0	-3643.95056539645066	4.82633133687264859	0.0133110889232198222	1	0.5	0.00546226025552144865	0.00702699749023519282	0.0084190906487283685	1	-3797.09322068978554	8.1015098959563332	0.0257282711184012372	1	0.5	0.00636039957138642871	0.00927548424087598807	0.00811854454911625084	1	-986.089861845641508	11.7107894328458677	0.0257282711184012372	1	0.5	0.00411824552779208129	0.0045900030869298206	0.00422732611275261714	0	-1315.05946162698933	8.05233240979577047	0.0133110889232198222	1	0.5	0.00588616897675829122	0.00719005471852606978	0.00533773689473487911	2	-456.987180287575995	10.4160535618710206	0.00650467880198786659	1	0.5	0.00157207636269606822	0.00141451368875205805	0.00164928558347745831	3	-1228.27608559450823	11.3886653230178077	0.0220415925436620759	1	0.5	0.00484849693336129178	0.0045002290271837983	0.00439377846353308007	2	-778.658529008299524	11.3887592150468748	0.00650467880198786659	1	0.5	0.0035202401431169276	0.0043611951957143397	0.003506682018532826	0	-2028.87022096560349	11.388264168122145	0.0133110889232198222	1	0.5	0.00230176837580161166	0.00142352628073308049	0.00177715279536631919
200	-14166.7565583384021	75.8604058646364194	5	7.5	0	-3643.11065466298896	1.40433824969960952	0.0125840632719071109	1	0.5	0.00492401193977932885	0.00658528765951619816	0.00850822010651398203	1	-3798.50442696214213	7.81798300537587565	0.0239866250111235059	1	0.5	0.00659973563969843812	0.00955184379649984434	0.00832394936901291807	1	-981.769144728920537	12.068239355167691	0.0239866250111235059	1	0.5	0.00353896819259232965	0.0037414932813112714	0.00367871219077299614	2	-1287.32402583756493	8.0551303345237919	0.010622510612567148	1	0.5	0.00482213522736437295	0.00566764470978888771	0.00401702483658342765	3	-454.004345399202805	9.84083561875589297	0.00302859622040968371	1	0.5	0.00140247256094380842	0.00111159490418544834	0.00111275023277206749	1	-1223.433246022601	11.3255086780150727	0.0239866250111235059	1	0.5	0.00499401612285006128	0.00335829758642868306	0.00451777237710805114	4	-771.788886236461167	5.0084569199782436	0.00562365815848746547	1	0.5	0.00291472163642120165	0.00413829515024543172	0.00233547273289220819	2	-2006.82182848852153	11.1334960717148981	0.010622510612567148	1	0.5	0.00458495116924451367	0.00139455566879573972	0.00307488903147674084
250	-14131.3643370562568	80.8802641956632016	5	7.5	0	-3631.47823865697956	-0.0112539832177525057	0.0134743407536591173	1	0.5	0.00567076200776437962	0.00797983612311067673	0.010147481775998524	1	-3797.72492456933469	8.11077108977738703	0.0249380311535353644	1	0.5	0.00488645129574262829	0.0100592257899739593	0.00793445970372303258	2	-976.563129567332908	11.5986366985200071	0.0133325677648822097	1	0.5	0.00330383314782381867	0.00220643203894889265	0.00300215466376842991	0	-1276.85692609669127	10.5375719340838181	0.0134743407536591173	1	0.5	0.00417628084197455181	0.00518891627009785555	0.00402443670158756511	3	-453.099789496110475	8.3014384653323674	0.00478662299048610972	1	0.5	0.0020422092319108149	0.000452707607635962868	0.00110522423889659015	1	-1223.37061220075702	11.3869306495247251	0.0249380311535353644	1	0.5	0.00529230444329487244	0.00354522414391677957	0.00465191645624510926	4	-766.638437280538369	12.0857330320594514	0.00825874632064359238	1	0.5	0.00233500978967927583	0.00328183305069877727	0.00271650135483998169	2	-2005.63227918851226	11.2516514296089483	0.0133325677648822097	1	0.5	0.00564538860910108325	0.00214438530394257202	0.00399114152754603217
300	-14068.2107834911603	75.2027121065935944	6	7.5	0	-3620.71084965551654	-2.98890527837598086	0.0122704021544524887	1	0.5	0.00506147778673060947	0.00918944534623363299	0.0110953723184491083	1	-3793.49833698319526	5.68764215614415392	0.0311168246524889738	1	0.5	0.00586462408339160669	0.0107865826597145654	0.00987704708859969693	1	-977.028141621069608	11.3068979103302745	0.0311168246524889738	1	0.5	0.00362764058203033767	0.00168833121778058236	0.00288552592100074128	2	-1244.05675969788649	11.1176208393764959	0.00968431615930457831	1	0.5	0.00242761447384958655	0.00389389069230930461	0.00272178455078747302	3	-452.205287444589374	8.21876028986720897	0.00200059572640291783	1	0.5	0.00197257777180545558	0.000377600025888947741	0.00109703996329312448	1	-1222.06423206727914	10.43312004313713	0.0311168246524889738	1	0.5	0.00653856700311700265	0.00178679509708731918	0.00441204415880607718	4	-757.221312473692933	11.3750513638200381	0.00647561001025485656	1	0.5	0.00135896733732723493	0.00261060612467262218	0.00188988165258166768	5	-2001.42586354792911	5.50999600008805146	0.0071373251288860207	1	0.5	0.00615622448874157853	0.00142947428744198061	0.00508498850142172134
350	-14036.7131088643218	68.063590580820275	6	7.5	0	-3611.54357601442916	0.935606951669218034	0.0189287713897026803	1	0.5	0.0050750043711831434	0.0128539655546753857	0.0121002127461707215	1	-3793.63834860815041	2.63993088085820915	0.0240708145929294896	1	0.5	0.00649000293008685468	0.0115319377666141289	0.0116660075039343569	1	-975.272368126486526	11.8550984650833939	0.0240708145929294896	1	0.5	0.00401174402741002155	0.00201322315415201989	0.00294793719776327958	2	-1224.42047776492814	10.2442621993231597	0.00755171878534796875	1	0.5	0.00143930693099099502	0.0026666713930480453	0.00238050291766599446	3	-456.159771305645904	5.72541032696445384	0.00122939734737687652	1	0.5	0.00407867717366609817	0.000180479285594983336	0.00237213874317333427	4	-1221.82948153470579	9.53937623340922158	0.0345135770704328576	1	0.5	0.00505995933717871306	0.00224640798095864609	0.00292719261161079099	5	-752.946185732926551	10.467024518601928	0.0044015678171961687	1	0.5	0.000930521760125962842	0.00218999372633162711	0.00163638443884983847	2	-2000.90289977705061	5.00857672038403834	0.00755171878534796875	1	0.5	0.00584773357344154417	0.00121412408408704832	0.00478453251192951026
400	-14028.8639887048812	77.3222116840246372	6	7.5	0	-3609.27008716178716	1.07620838420690745	0.0154544435395906066	1	0.5	0.00384522902749749075	0.0122797037514311338	0.0110873094586094612	1	-3793.34597394091588	1.93932879933544555	0.0240009183850799952	1	0.5	0.00658273395824612514	0.00914616762397443134	0.010887917291444343	1	-973.702422515704484	10.7417288553632702	0.0240009183850799952	1	0.5	0.00365113507886305477	0.000973933413272945773	0.00236929356311572047	2	-1219.06973544035964	10.8746261747008255	0.00892746486266285562	1	0.5	0.00122834540701397097	0.00229600358574737033	0.00160568317590873214	3	-452.162626664260927	7.03378510062400153	0.00171677369575269656	1	0.5	0.00243311624180196986	0.000225884190993494438	0.00124956187781599822	1	-1222.91809409584448	10.4836207709427569	0.0240009183850799952	1	0.5	0.00696330094657131218	0.00217099179420305894	0.00477446354721737954	4	-750.562028609466779	10.3516195387960259	0.00424238192622097571	1	0.5	0.00093468910915107679	0.00176399170018273418	0.00138657887023769101	5	-2007.83302027654008	9.78170965607597509	0.00937253520475063787	1	0.5	0.00690908704625884003	0.00146418720192373732	0.00378010146216229206
450	-14018.7075947458907	65.5988551632902244	5	7.5	0	-3602.81213735980236	-3.18341530097920966	0.0154689220291129338	1	0.5	0.00414596207308968925	0.0146315102982224748	0.0136495170303552443	1	-3793.32570522276092	5.35509207746999749	0.0260836044468778366	1	0.5	0.00574904093081973419	0.011119399177040629	0.0100793442163914244	0	-974.226607237546659	9.15758772242742225	0.0154689220291129338	1	0.5	0.00466534302762960582	0.000780028760731573756	0.00307368059660407091	2	-1219.65359619938386	11.155031749462438	0.00716560643416646638	1	0.5	0.00125179834881768951	0.00225290918433732751	0.00180112405633511309	3	-455.41236040516219	7.08917827621583285	0.00589592527494432403	1	0.5	0.0028860201086850475	0.000289955135688429891	0.00137832733229337635	1	-1221.97073608996971	9.51907486981162521	0.0260836044468778366	1	0.5	0.00643652757249661266	0.00193844289981515388	0.0048534622325564717	3	-747.628676596210312	9.38331005828379716	0.00589592527494432403	1	0.5	0.000758479419816594845	0.00147386796138277722	0.00119892866079483414	4	-2003.67777563505388	9.59030606352435555	0.0110372031271077052	1	0.5	0.00586532001972059087	0.00100211906655623718	0.00374356681752700338
