generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler3	3245	3099	1	0.0285714	0.30918	
LeafPopulationSizeScaler3	4486	1906	1	0.0285714	0.49598	
RootPopulationSizeScaler4	3159	3168	1	0.0285714	0.315885	
LeafPopulationSizeScaler4	4210	2194	1	0.0285714	1.12673	
RootPopulationSizeScaler5	3245	3107	1	0.0285714	0.302854	
LeafPopulationSizeScaler5	3433	2920	1	0.0285714	0.525568	
RootPopulationSizeScaler6	3126	3226	1	0.0285714	0.317816	
LeafPopulationSizeScaler6	4749	1603	1	0.0285714	0.706633	
RootPopulationSizeScaler7	3249	3103	1	0.0285714	0.277764	
LeafPopulationSizeScaler7	3578	2766	1	0.0285714	0.630992	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8591	0	10	0.285714	none	
TimeSizeRateMixer	14247	11089	5	0.142857	0.198549	
TimeRootSizeMixer	7282	7858	3	0.0857143	0.233192	
EventTimeScaler	51012	45506	1	0.0285714	0.542721	
RootPopulationSizeScaler0	3593	4030	1	0.0285714	0.226232	
LeafPopulationSizeScaler0	4316	3347	1	0.0285714	0.250167	
RootPopulationSizeScaler1	3733	3906	1	0.0285714	0.288567	
LeafPopulationSizeScaler1	3944	3755	1	0.0285714	0.32465	
RootPopulationSizeScaler2	3789	3902	1	0.0285714	0.319804	
LeafPopulationSizeScaler2	4281	3382	1	0.0285714	0.661695	
RootPopulationSizeScaler3	3859	3789	1	0.0285714	0.31097	
LeafPopulationSizeScaler3	5312	2400	1	0.0285714	0.51364	
RootPopulationSizeScaler4	3761	3871	1	0.0285714	0.317662	
LeafPopulationSizeScaler4	4982	2728	1	0.0285714	1.15803	
RootPopulationSizeScaler5	3867	3800	1	0.0285714	0.305331	
LeafPopulationSizeScaler5	4076	3571	1	0.0285714	0.531708	
RootPopulationSizeScaler6	3745	3918	1	0.0285714	0.319531	
LeafPopulationSizeScaler6	5571	2088	1	0.0285714	0.734238	
RootPopulationSizeScaler7	3915	3735	1	0.0285714	0.281402	
LeafPopulationSizeScaler7	4277	3385	1	0.0285714	0.642739	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10038	0	10	0.285714	none	
TimeSizeRateMixer	16518	13230	5	0.142857	0.200866	
TimeRootSizeMixer	8463	9254	3	0.0857143	0.233663	
EventTimeScaler	59273	53612	1	0.0285714	0.547943	
RootPopulationSizeScaler0	4169	4790	1	0.0285714	0.225899	
LeafPopulationSizeScaler0	5016	3952	1	0.0285714	0.253708	
RootPopulationSizeScaler1	4354	4636	1	0.0285714	0.289675	
LeafPopulationSizeScaler1	4574	4441	1	0.0285714	0.326614	
RootPopulationSizeScaler2	4394	4611	1	0.0285714	0.320544	
LeafPopulationSizeScaler2	4958	4018	1	0.0285714	0.669421	
RootPopulationSizeScaler3	4515	4474	1	0.0285714	0.313332	
LeafPopulationSizeScaler3	6096	2919	1	0.0285714	0.527043	
RootPopulationSizeScaler4	4386	4573	1	0.0285714	0.319275	
LeafPopulationSizeScaler4	5720	3295	1	0.0285714	1.18289	
RootPopulationSizeScaler5	4489	4490	1	0.0285714	0.307212	
LeafPopulationSizeScaler5	4727	4209	1	0.0285714	0.537431	
RootPopulationSizeScaler6	4357	4624	1	0.0285714	0.32094	
LeafPopulationSizeScaler6	6433	2527	1	0.0285714	0.761048	
RootPopulationSizeScaler7	4523	4423	1	0.0285714	0.283224	
LeafPopulationSizeScaler7	4948	4032	1	0.0285714	0.649799	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11436	0	10	0.285714	none	
TimeSizeRateMixer	18813	15361	5	0.142857	0.202728	
TimeRootSizeMixer	9580	10668	3	0.0857143	0.233818	
EventTimeScaler	67215	61710	1	0.0285714	0.551882	
RootPopulationSizeScaler0	4767	5543	1	0.0285714	0.225872	
LeafPopulationSizeScaler0	5663	4610	1	0.0285714	0.25607	
RootPopulationSizeScaler1	4968	5319	1	0.0285714	0.290858	
LeafPopulationSizeScaler1	5206	5125	1	0.0285714	0.328688	
RootPopulationSizeScaler2	5000	5342	1	0.0285714	0.321301	
LeafPopulationSizeScaler2	5651	4663	1	0.0285714	0.676186	
RootPopulationSizeScaler3	5133	5173	1	0.0285714	0.315159	
LeafPopulationSizeScaler3	6908	3427	1	0.0285714	0.540009	
RootPopulationSizeScaler4	5024	5267	1	0.0285714	0.32096	
LeafPopulationSizeScaler4	6474	3852	1	0.0285714	1.20252	
RootPopulationSizeScaler5	5120	5188	1	0.0285714	0.308892	
LeafPopulationSizeScaler5	5379	4859	1	0.0285714	0.542547	
RootPopulationSizeScaler6	4991	5319	1	0.0285714	0.322285	
LeafPopulationSizeScaler6	7295	2973	1	0.0285714	0.784493	
RootPopulationSizeScaler7	5169	5118	1	0.0285714	0.28514	
LeafPopulationSizeScaler7	5628	4688	1	0.0285714	0.656143	
generation 45000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	12916	0	10	0.285714	none	
TimeSizeRateMixer	20942	17393	5	0.142857	0.204344	
TimeRootSizeMixer	10831	12120	3	0.0857143	0.234353	
EventTimeScaler	75359	69993	1	0.0285714	0.555583	
RootPopulationSizeScaler0	5341	6253	1	0.0285714	0.226246	
LeafPopulationSizeScaler0	6313	5242	1	0.0285714	0.25777	
RootPopulationSizeScaler1	5567	6008	1	0.0285714	0.291937	
LeafPopulationSizeScaler1	5824	5786	1	0.0285714	0.330279	
RootPopulationSizeScaler2	5585	6035	1	0.0285714	0.322095	
LeafPopulationSizeScaler2	6306	5304	1	0.0285714	0.68233	
RootPopulationSizeScaler3	5747	5861	1	0.0285714	0.316657	
LeafPopulationSizeScaler3	7714	3923	1	0.0285714	0.551788	
RootPopulationSizeScaler4	5645	5949	1	0.0285714	0.322154	
