generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler2	5691	3088	1	0.0322581	0.700438	
RootPopulationSizeScaler3	4315	4512	1	0.0322581	0.312428	
LeafPopulationSizeScaler3	5682	3079	1	0.0322581	1.06094	
RootPopulationSizeScaler4	4387	4437	1	0.0322581	0.313113	
LeafPopulationSizeScaler4	5268	3566	1	0.0322581	0.579578	
RootPopulationSizeScaler5	4414	4354	1	0.0322581	0.302458	
LeafPopulationSizeScaler5	5358	3405	1	0.0322581	0.826725	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11220	0	10	0.322581	none	
TimeSizeRateMixer	15099	13573	5	0.16129	0.235389	
TimeRootSizeMixer	8139	9064	3	0.0967742	0.273052	
EventTimeScaler	56981	51418	1	0.0322581	0.573153	
RootPopulationSizeScaler0	5064	5189	1	0.0322581	0.323327	
LeafPopulationSizeScaler0	6144	4174	1	0.0322581	0.946946	
RootPopulationSizeScaler1	4880	5384	1	0.0322581	0.276472	
LeafPopulationSizeScaler1	4866	5401	1	0.0322581	0.331665	
RootPopulationSizeScaler2	4983	5269	1	0.0322581	0.314785	
LeafPopulationSizeScaler2	6537	3691	1	0.0322581	0.715584	
RootPopulationSizeScaler3	4986	5300	1	0.0322581	0.313987	
LeafPopulationSizeScaler3	6497	3735	1	0.0322581	1.0824	
RootPopulationSizeScaler4	5037	5250	1	0.0322581	0.313912	
LeafPopulationSizeScaler4	6047	4245	1	0.0322581	0.588093	
RootPopulationSizeScaler5	5143	5091	1	0.0322581	0.30457	
LeafPopulationSizeScaler5	6175	4060	1	0.0322581	0.843185	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	12777	0	10	0.322581	none	
TimeSizeRateMixer	17134	15749	5	0.16129	0.237061	
TimeRootSizeMixer	9348	10446	3	0.0967742	0.274256	
EventTimeScaler	64758	59184	1	0.0322581	0.57801	
RootPopulationSizeScaler0	5737	6029	1	0.0322581	0.324334	
LeafPopulationSizeScaler0	6972	4844	1	0.0322581	0.960238	
RootPopulationSizeScaler1	5531	6219	1	0.0322581	0.276141	
LeafPopulationSizeScaler1	5566	6195	1	0.0322581	0.333052	
RootPopulationSizeScaler2	5679	6059	1	0.0322581	0.315764	
LeafPopulationSizeScaler2	7402	4335	1	0.0322581	0.728335	
RootPopulationSizeScaler3	5720	6056	1	0.0322581	0.315596	
LeafPopulationSizeScaler3	7340	4378	1	0.0322581	1.10079	
RootPopulationSizeScaler4	5726	6057	1	0.0322581	0.31464	
LeafPopulationSizeScaler4	6871	4928	1	0.0322581	0.596066	
RootPopulationSizeScaler5	5860	5873	1	0.0322581	0.306394	
LeafPopulationSizeScaler5	6975	4732	1	0.0322581	0.856711	
generation 45000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	14419	0	10	0.322581	none	
TimeSizeRateMixer	19034	17828	5	0.16129	0.238165	
TimeRootSizeMixer	10539	11772	3	0.0967742	0.275158	
EventTimeScaler	72415	67074	1	0.0322581	0.581556	
RootPopulationSizeScaler0	6426	6804	1	0.0322581	0.324994	
LeafPopulationSizeScaler0	7779	5491	1	0.0322581	0.97268	
RootPopulationSizeScaler1	6196	7005	1	0.0322581	0.27695	
LeafPopulationSizeScaler1	6201	7001	1	0.0322581	0.333394	
RootPopulationSizeScaler2	6350	6829	1	0.0322581	0.31695	
LeafPopulationSizeScaler2	8237	4974	1	0.0322581	0.739176	
RootPopulationSizeScaler3	6363	6867	1	0.0322581	0.315965	
LeafPopulationSizeScaler3	8193	5009	1	0.0322581	1.11749	
RootPopulationSizeScaler4	6387	6855	1	0.0322581	0.315529	
LeafPopulationSizeScaler4	7659	5605	1	0.0322581	0.602767	
RootPopulationSizeScaler5	6546	6632	1	0.0322581	0.308032	
LeafPopulationSizeScaler5	7804	5361	1	0.0322581	0.869716	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	16020	0	10	0.322581	none	
TimeSizeRateMixer	20994	19797	5	0.16129	0.239528	
TimeRootSizeMixer	11723	13155	3	0.0967742	0.27566	
EventTimeScaler	80096	74890	1	0.0322581	0.584916	
RootPopulationSizeScaler0	7104	7587	1	0.0322581	0.326168	
LeafPopulationSizeScaler0	8550	6157	1	0.0322581	0.983053	
RootPopulationSizeScaler1	6852	7800	1	0.0322581	0.277332	
LeafPopulationSizeScaler1	6879	7774	1	0.0322581	0.334461	
RootPopulationSizeScaler2	7031	7592	1	0.0322581	0.317638	
LeafPopulationSizeScaler2	9077	5591	1	0.0322581	0.749069	
RootPopulationSizeScaler3	7026	7624	1	0.0322581	0.316781	
LeafPopulationSizeScaler3	8968	5678	1	0.0322581	1.12921	
RootPopulationSizeScaler4	7098	7602	1	0.0322581	0.316877	
LeafPopulationSizeScaler4	8425	6280	1	0.0322581	0.60771	
RootPopulationSizeScaler5	7241	7393	1	0.0322581	0.309077	
LeafPopulationSizeScaler5	8633	5982	1	0.0322581	0.88077	
generation 55000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
