generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1998	0	10	0.4	none	
TimeSizeRateMixer	1629	1190	5	0.2	0.201852	
TimeRootSizeMixer	978	832	3	0.12	0.194292	
EventTimeScaler	6434	4682	1	0.04	0.347666	
RootPopulationSizeScaler0	979	774	1	0.04	0.285451	
LeafPopulationSizeScaler0	1122	653	1	0.04	0.44631	
RootPopulationSizeScaler1	916	862	1	0.04	0.224149	
LeafPopulationSizeScaler1	1137	649	1	0.04	0.238894	
RootPopulationSizeScaler2	1071	729	1	0.04	0.262389	
LeafPopulationSizeScaler2	1302	486	1	0.04	0.517647	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3988	0	10	0.4	none	
TimeSizeRateMixer	3108	2628	5	0.2	0.211653	
TimeRootSizeMixer	1900	1675	3	0.12	0.205637	
EventTimeScaler	12142	10091	1	0.04	0.368238	
RootPopulationSizeScaler0	1888	1647	1	0.04	0.301077	
LeafPopulationSizeScaler0	2129	1421	1	0.04	0.487909	
RootPopulationSizeScaler1	1749	1825	1	0.04	0.228484	
LeafPopulationSizeScaler1	2128	1469	1	0.04	0.258801	
RootPopulationSizeScaler2	2009	1575	1	0.04	0.277531	
LeafPopulationSizeScaler2	2349	1215	1	0.04	0.57795	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5945	0	10	0.4	none	
TimeSizeRateMixer	4586	4051	5	0.2	0.217749	
TimeRootSizeMixer	2774	2592	3	0.12	0.209518	
EventTimeScaler	17777	15442	1	0.04	0.378602	
RootPopulationSizeScaler0	2742	2583	1	0.04	0.306667	
LeafPopulationSizeScaler0	3095	2271	1	0.04	0.506025	
RootPopulationSizeScaler1	2595	2777	1	0.04	0.231034	
LeafPopulationSizeScaler1	3088	2323	1	0.04	0.268656	
RootPopulationSizeScaler2	2916	2473	1	0.04	0.284254	
LeafPopulationSizeScaler2	3447	1927	1	0.04	0.618365	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7924	0	10	0.4	none	
TimeSizeRateMixer	6109	5619	5	0.2	0.221081	
TimeRootSizeMixer	3583	3452	3	0.12	0.212272	
EventTimeScaler	23314	21049	1	0.04	0.384628	
RootPopulationSizeScaler0	3633	3502	1	0.04	0.310158	
LeafPopulationSizeScaler0	4070	3110	1	0.04	0.521917	
RootPopulationSizeScaler1	3459	3738	1	0.04	0.232579	
LeafPopulationSizeScaler1	4050	3175	1	0.04	0.275398	
RootPopulationSizeScaler2	3863	3382	1	0.04	0.289561	
LeafPopulationSizeScaler2	4449	2732	1	0.04	0.639964	
generation 25000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	9903	0	10	0.4	none	
TimeSizeRateMixer	7566	7050	5	0.2	0.223995	
TimeRootSizeMixer	4400	4348	3	0.12	0.214058	
EventTimeScaler	28735	26689	1	0.04	0.389083	
RootPopulationSizeScaler0	4523	4415	1	0.04	0.313097	
LeafPopulationSizeScaler0	4996	3966	1	0.04	0.532418	
RootPopulationSizeScaler1	4289	4665	1	0.04	0.234296	
LeafPopulationSizeScaler1	4962	4044	1	0.04	0.279676	
RootPopulationSizeScaler2	4760	4259	1	0.04	0.293396	
LeafPopulationSizeScaler2	5432	3516	1	0.04	0.658004	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11898	0	10	0.4	none	
TimeSizeRateMixer	8996	8505	5	0.2	0.225878	
TimeRootSizeMixer	5229	5308	3	0.12	0.214877	
EventTimeScaler	34226	32426	1	0.04	0.392521	
RootPopulationSizeScaler0	5356	5365	1	0.04	0.315074	
LeafPopulationSizeScaler0	5882	4857	1	0.04	0.539185	
RootPopulationSizeScaler1	5111	5663	1	0.04	0.234806	
LeafPopulationSizeScaler1	5868	4906	1	0.04	0.283483	
RootPopulationSizeScaler2	5614	5207	1	0.04	0.296282	
LeafPopulationSizeScaler2	6381	4336	1	0.04	0.670551	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13919	0	10	0.4	none	
TimeSizeRateMixer	10456	10075	5	0.2	0.227776	
TimeRootSizeMixer	6067	6186	3	0.12	0.216355	
EventTimeScaler	39755	38239	1	0.04	0.395427	
RootPopulationSizeScaler0	6212	6318	1	0.04	0.317201	
LeafPopulationSizeScaler0	6791	5757	1	0.04	0.544157	
RootPopulationSizeScaler1	5916	6665	1	0.04	0.23513	
LeafPopulationSizeScaler1	6785	5793	1	0.04	0.286647	
RootPopulationSizeScaler2	6490	6137	1	0.04	0.298272	
LeafPopulationSizeScaler2	7368	5143	1	0.04	0.682086	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15962	0	10	0.4	none	
TimeSizeRateMixer	11874	11619	5	0.2	0.229004	
TimeRootSizeMixer	6896	7117	3	0.12	0.217482	
EventTimeScaler	45207	44034	1	0.04	0.397862	
RootPopulationSizeScaler0	7078	7272	1	0.04	0.318983	
