generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
TimeSizeRateMixer	14993	14824	5	0.2	0.225689	
TimeRootSizeMixer	8648	9051	3	0.12	0.217513	
EventTimeScaler	57369	54860	1	0.04	0.391478	
RootPopulationSizeScaler0	8648	9581	1	0.04	0.322701	
LeafPopulationSizeScaler0	9851	8312	1	0.04	0.556764	
RootPopulationSizeScaler1	9229	8951	1	0.04	0.22027	
LeafPopulationSizeScaler1	10081	8009	1	0.04	0.271231	
RootPopulationSizeScaler2	9975	8155	1	0.04	0.278474	
LeafPopulationSizeScaler2	10993	7104	1	0.04	0.67209	
generation 55000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	22172	0	10	0.4	none	
TimeSizeRateMixer	16411	16319	5	0.2	0.226537	
TimeRootSizeMixer	9427	9975	3	0.12	0.21799	
EventTimeScaler	62794	60605	1	0.04	0.39296	
RootPopulationSizeScaler0	9473	10546	1	0.04	0.323282	
LeafPopulationSizeScaler0	10763	9171	1	0.04	0.56007	
RootPopulationSizeScaler1	10087	9887	1	0.04	0.221246	
LeafPopulationSizeScaler1	10985	8868	1	0.04	0.273193	
RootPopulationSizeScaler2	10900	9015	1	0.04	0.280413	
LeafPopulationSizeScaler2	11942	7940	1	0.04	0.679082	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	24131	0	10	0.4	none	
TimeSizeRateMixer	17890	17875	5	0.2	0.22731	
TimeRootSizeMixer	10294	10918	3	0.12	0.218703	
EventTimeScaler	68197	66302	1	0.04	0.394597	
RootPopulationSizeScaler0	10358	11548	1	0.04	0.324138	
LeafPopulationSizeScaler0	11714	10103	1	0.04	0.563255	
RootPopulationSizeScaler1	10968	10865	1	0.04	0.222075	
LeafPopulationSizeScaler1	11946	9756	1	0.04	0.275115	
RootPopulationSizeScaler2	11815	9938	1	0.04	0.281915	
LeafPopulationSizeScaler2	12946	8789	1	0.04	0.68587	
generation 65000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	26167	0	10	0.4	none	
TimeSizeRateMixer	19348	19388	5	0.2	0.228253	
TimeRootSizeMixer	11126	11824	3	0.12	0.219356	
EventTimeScaler	73666	72136	1	0.04	0.396003	
RootPopulationSizeScaler0	11167	12527	1	0.04	0.324462	
LeafPopulationSizeScaler0	12627	10989	1	0.04	0.565707	
RootPopulationSizeScaler1	11831	11781	1	0.04	0.222862	
LeafPopulationSizeScaler1	12866	10649	1	0.04	0.27663	
RootPopulationSizeScaler2	12711	10845	1	0.04	0.283341	
LeafPopulationSizeScaler2	13931	9598	1	0.04	0.692168	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	28138	0	10	0.4	none	
TimeSizeRateMixer	20790	20915	5	0.2	0.228947	
TimeRootSizeMixer	11938	12794	3	0.12	0.219602	
EventTimeScaler	79019	77932	1	0.04	0.397311	
RootPopulationSizeScaler0	12022	13506	1	0.04	0.325114	
LeafPopulationSizeScaler0	13490	11918	1	0.04	0.567522	
RootPopulationSizeScaler1	12719	12724	1	0.04	0.223572	
LeafPopulationSizeScaler1	13774	11544	1	0.04	0.277739	
RootPopulationSizeScaler2	13619	11763	1	0.04	0.28457	
LeafPopulationSizeScaler2	14879	10460	1	0.04	0.696411	
generation 75000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	30138	0	10	0.4	none	
TimeSizeRateMixer	22223	22466	5	0.2	0.229563	
TimeRootSizeMixer	12693	13710	3	0.12	0.219875	
EventTimeScaler	84431	83593	1	0.04	0.398528	
RootPopulationSizeScaler0	12867	14459	1	0.04	0.325727	
LeafPopulationSizeScaler0	14371	12820	1	0.04	0.569672	
RootPopulationSizeScaler1	13628	13606	1	0.04	0.224397	
LeafPopulationSizeScaler1	14699	12401	1	0.04	0.279069	
RootPopulationSizeScaler2	14511	12670	1	0.04	0.285714	
LeafPopulationSizeScaler2	15842	11277	1	0.04	0.701244	
