generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_W1	ln_likelihood_W1	ln_prior_W1	root_height_W1	mutation_rate_W1	freq_1_W1	pop_size_W1	pop_size_E1	pop_size_root_W1	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_W5	ln_likelihood_W5	ln_prior_W5	root_height_W5	mutation_rate_W5	freq_1_W5	pop_size_W5	pop_size_E5	pop_size_root_W5
0	-6885.23907309679998	39.6562506391855365	3	7.5	0	-1781.601533050331	10.6976560094006459	0.00215310447613377854	1	0.5	0.00522965301579835559	0.00522965301579835559	0.00564993917380978046	1	-3920.0298890711133	8.56291512183413062	0.00330591946881426523	1	0.5	0.00745321685979322829	0.00745321685979322829	0.00786055616697404688	2	-1183.60765097535545	9.02180225721509998	0.0153417899171556932	1	0.5	0.00594313689455849576	0.00594313689455849576	0.0049472633364559971
50	-6458.89128323836576	32.4665819556239725	3	7.5	0	-1416.39805032856088	10.9210234702916473	0.0524129550686608173	1	0.5	0.0054784554261139767	0.00533708473197539585	0.00542924455828783323	1	-3865.34352780158952	7.53686348538686701	0.00974597013986748008	1	0.5	0.00797171695199597879	0.00830092725823097961	0.00878843919647281403	2	-1177.14970510821513	9.10197852241073235	0.0233134963855848275	1	0.5	0.00571629520961905967	0.00537698930866206595	0.00453518031505188192
100	-6443.78924123948673	33.8965371915830502	3	7.5	0	-1412.92497800508249	11.3262382741167116	0.0519185676820545991	1	0.5	0.00489428793690776989	0.00454244458760196673	0.00494306169180926819	1	-3860.78973173524491	6.16574997384694967	0.0112144469752502463	1	0.5	0.00895030136654943048	0.00883099297592191551	0.00995535104252633432	2	-1170.07453149915932	11.2630646787857778	0.019991729063819387	1	0.5	0.00526733307645303739	0.00474573584132986608	0.00495658049036925077
150	-6437.81638382979691	33.9715563916108394	3	7.5	0	-1413.3143414008664	11.3679545958182935	0.0466204028636641316	1	0.5	0.00459594432331613366	0.00466150115609412826	0.00487063784810463571	1	-3854.10816369345093	6.10786999039231304	0.00977399849833946073	1	0.5	0.00965814794793742014	0.00750504646964343311	0.00988742111034380221	2	-1170.39387873548026	11.2759696587843656	0.0259475635412980202	1	0.5	0.00483932900550708943	0.00465395532247206683	0.00441106276953244676
200	-6422.15813599853391	33.1714696070829191	3	7.5	0	-1414.21478268938017	11.4811758237867849	0.0428310270622924635	1	0.5	0.00428683917886329979	0.00439571547614172557	0.00399122977457659536	1	-3849.44645948877087	4.59797467849036323	0.00887649559738363896	1	0.5	0.0101048574977513472	0.00683744536502532002	0.010536321977489058	2	-1158.49689382038264	10.4450629140419231	0.0163595018021457511	1	0.5	0.00545160939110358317	0.00367019930502048572	0.00520226879800677212
250	-6401.24525086037283	32.41339870455257	3	7.5	0	-1408.32188658682799	10.8127257039830518	0.04818279157757617	1	0.5	0.00329351163205881311	0.00445534525316861052	0.00444091514112853435	1	-3847.66000164109209	3.68536839560177754	0.00897798291655677733	1	0.5	0.0106384907931382465	0.00691011169724156226	0.0111177481558718799	2	-1145.26336263245366	11.664089373787192	0.0148666595635219001	1	0.5	0.00331869677440703448	0.00252396915429964949	0.00318926295191709333
300	-6395.31840181860753	31.1507935838772383	3	7.5	0	-1406.57945517301846	11.5201994689537024	0.0558565780891911376	1	0.5	0.00249507626163697135	0.00343791143763177163	0.00327622040991717902	1	-3848.44789670853106	3.24204258235408815	0.0100983949140880692	1	0.5	0.0129615363202245475	0.00785610157209306117	0.0121567833321987416	2	-1140.29104993705846	11.6463817108566019	0.0211629151490527294	1	0.5	0.00441569757671068149	0.00209481785734554884	0.00305622926677701513
350	-6387.45081157660206	24.8886383116067549	2	7.5	0	-1408.21035675629219	11.2661054000147089	0.0466370027329128731	1	0.5	0.00168257130752981357	0.00512972733604206543	0.00333062829804443069	1	-3846.20082813910813	3.5687070114867403	0.010699230908409265	1	0.5	0.0111166882352483083	0.00627847803259164085	0.011065722934872237	1	-1133.03962668120175	8.95356383382183907	0.010699230908409265	1	0.5	0.0030097461570158337	0.00121569267957108906	0.00257903387159954915
400	-6387.59627299573731	31.8623009550572895	3	7.5	0	-1407.20834501513627	10.5536394810034508	0.0546871273847799946	1	0.5	0.00138273766674258973	0.00507968149382226602	0.00290296931433089034	1	-3847.41518293708896	4.37184754973192469	0.0107002413852634662	1	0.5	0.0142774534461349405	0.00654548496191790022	0.0105933052603667324	2	-1132.97274504351162	11.2413035024235697	0.012197113380433406	1	0.5	0.00424540542091497632	0.00139203914589710936	0.0028974781094305937
450	-6377.19399856766267	29.0123684652696703	3	7.5	0	-1405.76779507099945	11.7053276782396338	0.0534387864821215877	1	0.5	0.00186161460190027977	0.00391242142273555069	0.00273332090998724096	1	-3842.67159059706273	2.56323377126783214	0.0100116131181523377	1	0.5	0.0123196569479182977	0.00544972796942253587	0.0115038015288106005	2	-1128.75461289960094	9.29694257244759825	0.0166205423360403469	1	0.5	0.00656675327785977408	0.000855910883311964137	0.00382344524728736156
