generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_W1	ln_likelihood_W1	ln_prior_W1	root_height_W1	mutation_rate_W1	freq_1_W1	pop_size_W1	pop_size_E1	pop_size_root_W1	root_height_index_W2	ln_likelihood_W2	ln_prior_W2	root_height_W2	mutation_rate_W2	freq_1_W2	pop_size_W2	pop_size_E2	pop_size_root_W2	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_E4	ln_likelihood_E4	ln_prior_E4	root_height_E4	mutation_rate_E4	freq_1_E4	pop_size_E4	pop_size_W4	pop_size_root_E4	root_height_index_W6	ln_likelihood_W6	ln_prior_W6	root_height_W6	mutation_rate_W6	freq_1_W6	pop_size_W6	pop_size_E6	pop_size_root_W6
0	-7961.68281507894881	72.291771142033042	5	7.5	0	-2171.71795480907076	11.0083345924719822	9.36223611369589798e-05	1	0.5	0.00259587752955262648	0.00259587752955262648	0.00298051447097339274	1	-1268.72871504294562	11.5503099339770685	0.00121627003362987838	1	0.5	0.00343336932512523134	0.00343336932512523134	0.00303725731113841388	2	-2263.2541747839673	7.24091946013277266	0.000578244126296395327	1	0.5	0.00864324736497558942	0.00864324736497558942	0.00877992058360469417	3	-866.077662409702725	11.9614456013650994	0.0324356697261155291	1	0.5	0.00232753077515087791	0.00232753077515087791	0.00221739185265624203	4	-1391.90430803326308	12.1731190687995579	0.00110359647469645519	1	0.5	0.00267528214624927676	0.00267528214624927676	0.00265667566345006599
50	-6857.93850345778083	51.5211019695721362	3	7.5	0	-1153.96443757890097	11.3696755300766164	0.0571229607237231304	1	0.5	0.0023802483266977658	0.0023859858071673774	0.00264985369898041194	1	-1269.62965537727564	10.9978870767264212	0.00396274709424849093	1	0.5	0.00391055667711254044	0.00352672644034925315	0.0031694141559113374	2	-2246.35841564842985	6.43409767205062622	0.00350898410781724877	1	0.5	0.00919825639080645852	0.00897676201839982778	0.00837030079761221825	0	-865.94783768104287	11.9449127571710676	0.0571229607237231304	1	0.5	0.00233922019817971996	0.00208900505603418132	0.00221659517414000799	1	-1322.03815717213138	8.57376178171294967	0.00396274709424849093	1	0.5	0.0026921049292766828	0.0029731138726186465	0.0036325659840056655
100	-6843.45273265384458	55.7368361319991195	4	7.5	0	-1154.30122293339241	11.6750240431660544	0.0553537346024328622	1	0.5	0.00242071388334676044	0.00253459386700927028	0.00268915260167645886	1	-1264.66638941609654	9.5221669601903578	0.00536829257355656616	1	0.5	0.00375346395879308731	0.00308454103222040874	0.00266628828123251617	2	-2241.40152819175728	7.13069016311493797	0.00375290838820302453	1	0.5	0.00878622415810926573	0.00778078761111006354	0.00733297555452081928	3	-861.997201379728153	11.7428378262828801	0.0334592786565176548	1	0.5	0.00220121065119442422	0.00184805590283933121	0.00205979467809821104	1	-1321.08639073287054	10.1792290103721967	0.00536829257355656616	1	0.5	0.00289620553615292349	0.00299143305242345484	0.00354513391914916369
150	-6836.61628827433924	52.9745738529538883	3	7.5	0	-1154.93205317929369	12.1609887371683705	0.0535343375227077395	1	0.5	0.00250058552500529319	0.00287672003476297043	0.00264950057664294861	1	-1259.18841265211836	9.61387609482970262	0.00289145378721216914	1	0.5	0.00309934010040544081	0.00295493467638704597	0.00236195746248535647	2	-2238.90323295066491	7.92707055121739046	0.00450526606608184308	1	0.5	0.00893554202428821671	0.00677790997315502828	0.00719749423649300446	0	-861.284192412337688	11.6257104301390903	0.0535343375227077395	1	0.5	0.00198880142526567261	0.0017588743367320601	0.00186970888976989891	2	-1322.30839707992436	9.07979743278615103	0.00450526606608184308	1	0.5	0.00260446108322047237	0.00280165508215364078	0.00340222073302432924
200	-6827.13531550103926	59.2701106909744055	5	7.5	0	-1151.49128014817961	12.1252544258792732	0.0753895403569532219	1	0.5	0.00234896875917030854	0.00308398061992883228	0.00270732157336295558	1	-1259.77092200389779	11.9506028680299785	0.00543379522602556279	1	0.5	0.00297914629857965818	0.00264358645006231322	0.00259477088183426591	2	-2238.1238499221281	8.97697559494202579	0.00665555029576461298	1	0.5	0.00788029108747208447	0.00628852753362032623	0.0065953818488758871	3	-859.537803067493655	11.1992547826052871	0.0357169095906948175	1	0.5	0.00179316217814538565	0.00191266521284909037	0.00200690381973089036	4	-1318.21146035933998	5.96497989950537644	0.00527760090517775601	1	0.5	0.0025060099507083029	0.00318443118725910985	0.00393409180737967767
250	-6814.60255636003694	61.615560067049735	5	7.5	0	-1151.89824194589187	10.0833622662550546	0.0737297370679695363	1	0.5	0.00288393805109519183	0.0028790044991303331	0.00230190216501985605	1	-1251.85913438227271	9.03560593875885232	0.00265082141647289419	1	0.5	0.00285178844531666382	0.00224614642805923744	0.00194713635799115248	2	-2233.17144118317947	10.9269478217964924	0.0029274106842448592	1	0.5	0.00643077566317968186	0.00388805096269352526	0.00523683071334542661	3	-854.493429469231728	9.96772248048357312	0.0341312579753125719	1	0.5	0.00146909587602500158	0.00103294566418943605	0.00113032492575535545	4	-1323.18030937946151	11.6772770880874575	0.00631815571405779618	1	0.5	0.00293020395303551133	0.00307612562437223217	0.00329223741708460161
300	-6801.15889594171676	63.7753036142429792	5	7.5	0	-1153.59913161276154	11.9088388474853168	0.0647165245607631834	1	0.5	0.00259907105409932842	0.00205485653109319013	0.00239939770064101368	1	-1244.6201480577829	10.0045139656672433	0.00232100893351185229	1	0.5	0.00204492929937068451	0.00159933402184767991	0.001505449117912009	2	-2229.32575838827006	11.2781004137187892	0.00547541836118921668	1	0.5	0.00593253721838161649	0.00251925240562449757	0.00421722658490679501	3	-857.085363722185434	10.1030428049872327	0.0270105915529392088	1	0.5	0.00100261649438415689	0.00149218951008936386	0.0013211356846428695	4	-1316.52849416071649	9.19534544569972212	0.00662566279949034723	1	0.5	0.00316301937687545704	0.00373761666953883543	0.00431620378556434557
350	-6797.24574392564136	61.3833503321498384	5	7.5	0	-1152.79753164430122	10.4702120790356794	0.0723504423613997305	1	0.5	0.00309087158957398623	0.00239881093630375146	0.00224832211062450053	1	-1245.33691025566463	10.7413636455400621	0.00426739992733946548	1	0.5	0.00183903044424039964	0.00152866124372919238	0.00185924234160487643	2	-2224.68064428397292	9.58356044070562874	0.00356660371971656434	1	0.5	0.00810755662632550722	0.00247759598233861841	0.00475511020682267433	3	-853.332893031145773	8.96155346615447002	0.0307924701036432318	1	0.5	0.00071335577942338265	0.00140486377826485155	0.000942167574318852614	4	-1321.09776471055716	11.6643900132762646	0.00840420458826436449	1	0.5	0.00393403780824976099	0.00401564856051919022	0.00364383934045800929
400	-6788.4130818308613	54.318192936569865	4	7.5	0	-1151.85492813002679	11.9141563129865169	0.0791222111539771483	1	0.5	0.0021165643813006378	0.00343193508030374943	0.0026214101213441433	1	-1245.15011066871079	11.252029349645877	0.00401655440796564768	1	0.5	0.00174314558440753276	0.00158528156126929039	0.00171831258384327131	1	-2221.77841665994947	7.185463436192979	0.00401655440796564768	1	0.5	0.00805977644309086722	0.00169106898952862245	0.00381789865347416163	2	-853.313065122544685	9.70925751451312991	0.034423253599009683	1	0.5	0.000691860969714071282	0.00169358663144605686	0.00118474180756687839	3	-1316.31656124962979	11.4489740186540061	0.00715795330271103147	1	0.5	0.00389861093169550487	0.00466373264679946411	0.00458256925241163748
450	-6777.09693743981279	53.2047227208485793	5	7.5	0	-1153.52078374384223	12.0611206850234538	0.0660060713059810594	1	0.5	0.00342013665413604985	0.00349322422831546426	0.0032807593096540323	1	-1242.56391295043022	10.925249420310081	0.00318112333057196488	1	0.5	0.00151528331057351599	0.00141937109381977205	0.00150266932635788222	2	-2219.97672478260711	7.7107681653899931	0.00259341992032885004	1	0.5	0.00928753612120416898	0.0011477031581775233	0.00462938478742543676	3	-849.350936119707171	7.08515351575080743	0.0354333815661818305	1	0.5	0.000353848078965691602	0.00110734532009220841	0.000671870124534430053	4	-1311.68457984322617	5.12050217002594721	0.00877054380819393062	1	0.5	0.00402539816187313937	0.00578041358498851496	0.00676879391267119768
