generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1699	0	10	0.344828	none	
TimeSizeRateMixer	2370	1663	5	0.172414	0.210687	
TimeRootSizeMixer	1270	1128	3	0.103448	0.231573	
EventTimeScaler	9052	6128	1	0.0344828	0.421508	
RootPopulationSizeScaler0	927	651	1	0.0344828	0.288562	
LeafPopulationSizeScaler0	912	609	1	0.0344828	0.546761	
RootPopulationSizeScaler1	820	705	1	0.0344828	0.276619	
LeafPopulationSizeScaler1	1155	370	1	0.0344828	0.443061	
RootPopulationSizeScaler2	826	717	1	0.0344828	0.266165	
LeafPopulationSizeScaler2	983	562	1	0.0344828	0.404146	
RootPopulationSizeScaler3	897	652	1	0.0344828	0.292388	
LeafPopulationSizeScaler3	1092	439	1	0.0344828	0.767521	
RootPopulationSizeScaler4	894	670	1	0.0344828	0.243473	
LeafPopulationSizeScaler4	1035	492	1	0.0344828	0.330291	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3434	0	10	0.344828	none	
TimeSizeRateMixer	4427	3635	5	0.172414	0.222463	
TimeRootSizeMixer	2500	2421	3	0.103448	0.240459	
EventTimeScaler	17341	13289	1	0.0344828	0.451237	
RootPopulationSizeScaler0	1719	1425	1	0.0344828	0.30204	
LeafPopulationSizeScaler0	1709	1355	1	0.0344828	0.580703	
RootPopulationSizeScaler1	1605	1478	1	0.0344828	0.290527	
LeafPopulationSizeScaler1	2212	887	1	0.0344828	0.524448	
RootPopulationSizeScaler2	1630	1450	1	0.0344828	0.281444	
LeafPopulationSizeScaler2	1893	1225	1	0.0344828	0.445454	
RootPopulationSizeScaler3	1694	1428	1	0.0344828	0.302619	
LeafPopulationSizeScaler3	2034	1056	1	0.0344828	0.862198	
RootPopulationSizeScaler4	1689	1425	1	0.0344828	0.257571	
LeafPopulationSizeScaler4	1977	1122	1	0.0344828	0.370003	
generation 15000:
