generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler12	1860	972	1	0.0212766	0.546264	
RootPopulationSizeScaler13	1556	1313	1	0.0212766	0.2907	
LeafPopulationSizeScaler13	1946	915	1	0.0212766	0.594149	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4193	0	10	0.212766	none	
TimeSizeRateMixer	8779	7426	5	0.106383	0.188024	
TimeRootSizeMixer	4627	4833	3	0.0638298	0.169598	
EventTimeScaler	32986	27599	1	0.0212766	0.432438	
RootPopulationSizeScaler0	1970	1847	1	0.0212766	0.316502	
LeafPopulationSizeScaler0	2628	1164	1	0.0212766	1.03656	
RootPopulationSizeScaler1	2158	1670	1	0.0212766	0.281359	
LeafPopulationSizeScaler1	2352	1447	1	0.0212766	0.518264	
RootPopulationSizeScaler2	2024	1805	1	0.0212766	0.262276	
LeafPopulationSizeScaler2	2146	1676	1	0.0212766	0.437776	
RootPopulationSizeScaler3	1910	1926	1	0.0212766	0.306269	
LeafPopulationSizeScaler3	2306	1500	1	0.0212766	0.389736	
RootPopulationSizeScaler4	2098	1709	1	0.0212766	0.250635	
LeafPopulationSizeScaler4	2238	1602	1	0.0212766	0.417254	
RootPopulationSizeScaler5	2163	1620	1	0.0212766	0.276053	
LeafPopulationSizeScaler5	2472	1370	1	0.0212766	0.468178	
RootPopulationSizeScaler6	1930	1886	1	0.0212766	0.29261	
LeafPopulationSizeScaler6	2522	1295	1	0.0212766	0.392002	
RootPopulationSizeScaler7	1863	1971	1	0.0212766	0.292763	
LeafPopulationSizeScaler7	2311	1456	1	0.0212766	0.438897	
RootPopulationSizeScaler8	1961	1847	1	0.0212766	0.278861	
LeafPopulationSizeScaler8	2323	1475	1	0.0212766	0.515434	
RootPopulationSizeScaler9	2118	1716	1	0.0212766	0.277231	
LeafPopulationSizeScaler9	2628	1218	1	0.0212766	0.77403	
RootPopulationSizeScaler10	1991	1823	1	0.0212766	0.293394	
LeafPopulationSizeScaler10	2982	776	1	0.0212766	0.512943	
RootPopulationSizeScaler11	1972	1841	1	0.0212766	0.297468	
LeafPopulationSizeScaler11	2401	1379	1	0.0212766	0.655933	
RootPopulationSizeScaler12	1928	1838	1	0.0212766	0.308498	
LeafPopulationSizeScaler12	2392	1410	1	0.0212766	0.563895	
RootPopulationSizeScaler13	2030	1795	1	0.0212766	0.295876	
LeafPopulationSizeScaler13	2547	1290	1	0.0212766	0.62595	
generation 25000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5253	0	10	0.212766	none	
TimeSizeRateMixer	10731	9375	5	0.106383	0.190414	
TimeRootSizeMixer	5810	6138	3	0.0638298	0.170913	
EventTimeScaler	40658	35067	1	0.0212766	0.438934	
RootPopulationSizeScaler0	2426	2349	1	0.0212766	0.318638	
LeafPopulationSizeScaler0	3242	1525	1	0.0212766	1.08503	
RootPopulationSizeScaler1	2641	2147	1	0.0212766	0.285213	
LeafPopulationSizeScaler1	2873	1882	1	0.0212766	0.530931	
RootPopulationSizeScaler2	2505	2289	1	0.0212766	0.264889	
LeafPopulationSizeScaler2	2623	2146	1	0.0212766	0.444701	
RootPopulationSizeScaler3	2386	2422	1	0.0212766	0.309724	
LeafPopulationSizeScaler3	2813	1934	1	0.0212766	0.398931	
RootPopulationSizeScaler4	2573	2213	1	0.0212766	0.253871	
LeafPopulationSizeScaler4	2752	2025	1	0.0212766	0.426288	
RootPopulationSizeScaler5	2658	2085	1	0.0212766	0.280873	
LeafPopulationSizeScaler5	3010	1771	1	0.0212766	0.482266	
RootPopulationSizeScaler6	2391	2375	1	0.0212766	0.295774	
LeafPopulationSizeScaler6	3094	1678	1	0.0212766	0.406811	
RootPopulationSizeScaler7	2322	2471	1	0.0212766	0.295048	
LeafPopulationSizeScaler7	2850	1872	1	0.0212766	0.452476	
RootPopulationSizeScaler8	2408	2354	1	0.0212766	0.280355	
LeafPopulationSizeScaler8	2853	1908	1	0.0212766	0.528705	
RootPopulationSizeScaler9	2612	2173	1	0.0212766	0.281986	
LeafPopulationSizeScaler9	3209	1591	1	0.0212766	0.804156	
RootPopulationSizeScaler10	2488	2304	1	0.0212766	0.297707	
LeafPopulationSizeScaler10	3697	1025	1	0.0212766	0.54761	
RootPopulationSizeScaler11	2442	2326	1	0.0212766	0.301222	
LeafPopulationSizeScaler11	2966	1787	1	0.0212766	0.677738	
RootPopulationSizeScaler12	2397	2326	1	0.0212766	0.310953	
LeafPopulationSizeScaler12	2975	1784	1	0.0212766	0.583911	
RootPopulationSizeScaler13	2493	2305	1	0.0212766	0.298243	
LeafPopulationSizeScaler13	3139	1653	1	0.0212766	0.65206	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	6296	0	10	0.212766	none	
TimeSizeRateMixer	12777	11269	5	0.106383	0.192843	
TimeRootSizeMixer	7053	7527	3	0.0638298	0.171968	
EventTimeScaler	48362	42644	1	0.0212766	0.444084	
RootPopulationSizeScaler0	2872	2877	1	0.0212766	0.319697	
LeafPopulationSizeScaler0	3880	1857	1	0.0212766	1.12776	
RootPopulationSizeScaler1	3142	2618	1	0.0212766	0.289004	
LeafPopulationSizeScaler1	3442	2305	1	0.0212766	0.543649	
RootPopulationSizeScaler2	2954	2812	1	0.0212766	0.266203	
LeafPopulationSizeScaler2	3119	2636	1	0.0212766	0.45049	
RootPopulationSizeScaler3	2843	2953	1	0.0212766	0.311126	
LeafPopulationSizeScaler3	3318	2400	1	0.0212766	0.405607	
RootPopulationSizeScaler4	3064	2695	1	0.0212766	0.257019	
LeafPopulationSizeScaler4	3273	2477	1	0.0212766	0.433405	
RootPopulationSizeScaler5	3167	2550	1	0.0212766	0.284685	
LeafPopulationSizeScaler5	3577	2186	1	0.0212766	0.494037	
RootPopulationSizeScaler6	2863	2880	1	0.0212766	0.29807	
LeafPopulationSizeScaler6	3652	2078	1	0.0212766	0.417644	
RootPopulationSizeScaler7	2777	2996	1	0.0212766	0.296055	
LeafPopulationSizeScaler7	3373	2331	1	0.0212766	0.461127	
RootPopulationSizeScaler8	2868	2863	1	0.0212766	0.282049	
LeafPopulationSizeScaler8	3370	2353	1	0.0212766	0.539039	
