model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,1,5,6,7,7,8,8,3,5	0.000357143	0.969286	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,7,8,8,8,0	0.000357143	0.969643	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,7,8,8,8,7	0.000357143	0.97	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,7,8,9,8,6	0.000357143	0.970357	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,7,8,9,8,10	0.000357143	0.970714	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,7,8,9,9,7	0.000357143	0.971071	<1e-06	>357.27
0,1,0,2,3,1,0,0,3,4,2,2,2,0	0.000357143	0.971429	<1e-06	>357.27
0,1,0,2,3,1,0,0,3,0,2,2,2,0	0.000357143	0.971786	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,4,5,5,6,7	0.000357143	0.972143	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,4,5,5,6,0	0.000357143	0.9725	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,4,5,2,2,6	0.000357143	0.972857	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,4,2,2,2,4	0.000357143	0.973214	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,4,4,4,5	0.000357143	0.973571	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,4,4,2,5	0.000357143	0.973929	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,3,3,9,6	0.000357143	0.974286	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,3,3,9,7	0.000357143	0.974643	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,4,4,2,0	0.000357143	0.975	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,4,2,4,5	0.000357143	0.975357	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,3,9,3,5	0.000357143	0.975714	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,3,9,3,6	0.000357143	0.976071	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,4,2,2,5	0.000357143	0.976429	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,2,4,4,0	0.000357143	0.976786	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,3,9,10,8	0.000357143	0.977143	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,9,3,3,5	0.000357143	0.9775	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,9,3,3,6	0.000357143	0.977857	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,2,4,2,5	0.000357143	0.978214	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,9,9,3,10	0.000357143	0.978571	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,9,9,9,0	0.000357143	0.978929	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,2,4,2,0	0.000357143	0.979286	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,9,9,9,10	0.000357143	0.979643	1e-06	357.27
0,1,2,3,4,1,5,6,7,8,9,10,3,8	0.000357143	0.98	<1e-06	>357.27
0,1,2,3,4,1,5,6,7,8,9,10,9,11	0.000357143	0.980357	8e-06	44.6584
0,1,2,3,4,1,5,6,7,8,9,10,10,8	0.000357143	0.980714	1e-06	357.27
0,1,2,3,4,1,5,6,7,8,9,10,11,0	0.000357143	0.981071	1e-05	35.7267
0,1,2,3,4,5,0,0,0,0,3,3,6,0	0.000357143	0.981429	<1e-06	>357.27
0,1,2,3,4,5,0,0,0,6,3,3,3,0	0.000357143	0.981786	<1e-06	>357.27
0,1,2,3,4,5,0,0,0,6,3,3,3,7	0.000357143	0.982143	<1e-06	>357.27
