generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1048	0	10	0.212766	none	
TimeSizeRateMixer	2281	1659	5	0.106383	0.172304	
TimeRootSizeMixer	1282	1313	3	0.0638298	0.186596	
EventTimeScaler	9104	6174	1	0.0212766	0.377845	
RootPopulationSizeScaler0	549	427	1	0.0212766	0.287278	
LeafPopulationSizeScaler0	752	235	1	0.0212766	0.922485	
RootPopulationSizeScaler1	552	415	1	0.0212766	0.280281	
LeafPopulationSizeScaler1	618	368	1	0.0212766	0.511171	
RootPopulationSizeScaler2	595	386	1	0.0212766	0.242849	
LeafPopulationSizeScaler2	615	364	1	0.0212766	0.379682	
RootPopulationSizeScaler3	567	408	1	0.0212766	0.265163	
LeafPopulationSizeScaler3	682	298	1	0.0212766	0.277405	
RootPopulationSizeScaler4	560	414	1	0.0212766	0.227343	
LeafPopulationSizeScaler4	638	334	1	0.0212766	0.357424	
RootPopulationSizeScaler5	538	441	1	0.0212766	0.288454	
LeafPopulationSizeScaler5	690	280	1	0.0212766	0.362586	
RootPopulationSizeScaler6	577	411	1	0.0212766	0.239204	
LeafPopulationSizeScaler6	654	330	1	0.0212766	0.406938	
RootPopulationSizeScaler7	555	434	1	0.0212766	0.256197	
LeafPopulationSizeScaler7	697	283	1	0.0212766	0.338996	
RootPopulationSizeScaler8	570	389	1	0.0212766	0.24613	
LeafPopulationSizeScaler8	630	339	1	0.0212766	0.451568	
RootPopulationSizeScaler9	561	428	1	0.0212766	0.263874	
LeafPopulationSizeScaler9	742	245	1	0.0212766	0.636584	
RootPopulationSizeScaler10	594	365	1	0.0212766	0.266595	
LeafPopulationSizeScaler10	818	146	1	0.0212766	0.325633	
RootPopulationSizeScaler11	595	365	1	0.0212766	0.235332	
LeafPopulationSizeScaler11	714	254	1	0.0212766	0.498149	
RootPopulationSizeScaler12	546	427	1	0.0212766	0.266222	
LeafPopulationSizeScaler12	703	270	1	0.0212766	0.459014	
RootPopulationSizeScaler13	609	367	1	0.0212766	0.239329	
LeafPopulationSizeScaler13	715	244	1	0.0212766	0.472832	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2104	0	10	0.212766	none	
TimeSizeRateMixer	4378	3543	5	0.106383	0.183773	
TimeRootSizeMixer	2323	2610	3	0.0638298	0.187698	
EventTimeScaler	17071	13244	1	0.0212766	0.403034	
RootPopulationSizeScaler0	1013	897	1	0.0212766	0.297288	
LeafPopulationSizeScaler0	1347	593	1	0.0212766	1.0602	
RootPopulationSizeScaler1	1024	885	1	0.0212766	0.293142	
LeafPopulationSizeScaler1	1125	798	1	0.0212766	0.5542	
RootPopulationSizeScaler2	1102	826	1	0.0212766	0.256102	
LeafPopulationSizeScaler2	1158	768	1	0.0212766	0.413145	
RootPopulationSizeScaler3	1066	861	1	0.0212766	0.280106	
LeafPopulationSizeScaler3	1272	635	1	0.0212766	0.319972	
RootPopulationSizeScaler4	1082	842	1	0.0212766	0.244921	
LeafPopulationSizeScaler4	1156	750	1	0.0212766	0.390773	
RootPopulationSizeScaler5	997	929	1	0.0212766	0.298332	
LeafPopulationSizeScaler5	1259	640	1	0.0212766	0.412842	
RootPopulationSizeScaler6	1058	872	1	0.0212766	0.251766	
LeafPopulationSizeScaler6	1174	740	1	0.0212766	0.44165	
RootPopulationSizeScaler7	1036	890	1	0.0212766	0.267957	
LeafPopulationSizeScaler7	1266	634	1	0.0212766	0.380839	
RootPopulationSizeScaler8	1048	852	1	0.0212766	0.258134	
LeafPopulationSizeScaler8	1168	750	1	0.0212766	0.497529	
RootPopulationSizeScaler9	1076	876	1	0.0212766	0.280375	
LeafPopulationSizeScaler9	1324	602	1	0.0212766	0.725825	
RootPopulationSizeScaler10	1057	829	1	0.0212766	0.27887	
LeafPopulationSizeScaler10	1569	318	1	0.0212766	0.420998	
RootPopulationSizeScaler11	1127	770	1	0.0212766	0.258451	
LeafPopulationSizeScaler11	1309	586	1	0.0212766	0.572349	
RootPopulationSizeScaler12	1031	868	1	0.0212766	0.284248	
LeafPopulationSizeScaler12	1288	628	1	0.0212766	0.521079	
RootPopulationSizeScaler13	1084	822	1	0.0212766	0.252788	
LeafPopulationSizeScaler13	1330	557	1	0.0212766	0.55241	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3182	0	10	0.212766	none	
TimeSizeRateMixer	6554	5648	5	0.106383	0.189126	
TimeRootSizeMixer	3443	3975	3	0.0638298	0.188457	
EventTimeScaler	25419	20666	1	0.0212766	0.418434	
RootPopulationSizeScaler0	1531	1380	1	0.0212766	0.30591	
LeafPopulationSizeScaler0	1953	984	1	0.0212766	1.13981	
RootPopulationSizeScaler1	1516	1395	1	0.0212766	0.300605	
LeafPopulationSizeScaler1	1660	1255	1	0.0212766	0.580379	
RootPopulationSizeScaler2	1599	1325	1	0.0212766	0.260876	
LeafPopulationSizeScaler2	1694	1237	1	0.0212766	0.427057	
RootPopulationSizeScaler3	1548	1374	1	0.0212766	0.28622	
LeafPopulationSizeScaler3	1872	1035	1	0.0212766	0.342676	
RootPopulationSizeScaler4	1596	1343	1	0.0212766	0.251252	
LeafPopulationSizeScaler4	1689	1205	1	0.0212766	0.408369	
RootPopulationSizeScaler5	1478	1442	1	0.0212766	0.305024	
LeafPopulationSizeScaler5	1877	1053	1	0.0212766	0.443561	
RootPopulationSizeScaler6	1578	1352	1	0.0212766	0.259809	
LeafPopulationSizeScaler6	1769	1162	1	0.0212766	0.46679	
RootPopulationSizeScaler7	1539	1391	1	0.0212766	0.274425	
LeafPopulationSizeScaler7	1859	1022	1	0.0212766	0.40809	
RootPopulationSizeScaler8	1566	1332	1	0.0212766	0.265176	
LeafPopulationSizeScaler8	1748	1162	1	0.0212766	0.52626	
RootPopulationSizeScaler9	1572	1388	1	0.0212766	0.286551	
LeafPopulationSizeScaler9	1924	997	1	0.0212766	0.784322	
RootPopulationSizeScaler10	1563	1330	1	0.0212766	0.285114	
LeafPopulationSizeScaler10	2326	547	1	0.0212766	0.483782	
RootPopulationSizeScaler11	1680	1222	1	0.0212766	0.270944	
LeafPopulationSizeScaler11	1917	986	1	0.0212766	0.616109	
RootPopulationSizeScaler12	1538	1372	1	0.0212766	0.291168	
LeafPopulationSizeScaler12	1856	1050	1	0.0212766	0.555133	
RootPopulationSizeScaler13	1638	1276	1	0.0212766	0.263939	
LeafPopulationSizeScaler13	1964	918	1	0.0212766	0.60139	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4244	0	10	0.212766	none	
TimeSizeRateMixer	8731	7742	5	0.106383	0.193124	
TimeRootSizeMixer	4457	5232	3	0.0638298	0.188381	
EventTimeScaler	33345	27955	1	0.0212766	0.428229	
RootPopulationSizeScaler0	1996	1881	1	0.0212766	0.309459	
LeafPopulationSizeScaler0	2549	1355	1	0.0212766	1.20005	
RootPopulationSizeScaler1	2001	1887	1	0.0212766	0.30611	
LeafPopulationSizeScaler1	2168	1710	1	0.0212766	0.595359	
RootPopulationSizeScaler2	2083	1800	1	0.0212766	0.266173	
LeafPopulationSizeScaler2	2210	1699	1	0.0212766	0.437907	
RootPopulationSizeScaler3	2013	1858	1	0.0212766	0.289957	
LeafPopulationSizeScaler3	2444	1433	1	0.0212766	0.357355	
RootPopulationSizeScaler4	2055	1847	1	0.0212766	0.254529	
LeafPopulationSizeScaler4	2212	1646	1	0.0212766	0.421248	
RootPopulationSizeScaler5	1945	1933	1	0.0212766	0.308705	
