generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler5	2455	1447	1	0.0212766	0.463799	
RootPopulationSizeScaler6	2056	1827	1	0.0212766	0.264347	
LeafPopulationSizeScaler6	2280	1628	1	0.0212766	0.478564	
RootPopulationSizeScaler7	2041	1848	1	0.0212766	0.27993	
LeafPopulationSizeScaler7	2397	1445	1	0.0212766	0.423531	
RootPopulationSizeScaler8	2034	1823	1	0.0212766	0.268682	
LeafPopulationSizeScaler8	2242	1632	1	0.0212766	0.538804	
RootPopulationSizeScaler9	2067	1862	1	0.0212766	0.291084	
LeafPopulationSizeScaler9	2495	1375	1	0.0212766	0.820944	
RootPopulationSizeScaler10	2058	1812	1	0.0212766	0.290483	
LeafPopulationSizeScaler10	3007	819	1	0.0212766	0.524541	
RootPopulationSizeScaler11	2202	1681	1	0.0212766	0.279014	
LeafPopulationSizeScaler11	2475	1374	1	0.0212766	0.642243	
RootPopulationSizeScaler12	2005	1879	1	0.0212766	0.296465	
LeafPopulationSizeScaler12	2407	1438	1	0.0212766	0.576603	
RootPopulationSizeScaler13	2144	1734	1	0.0212766	0.269775	
LeafPopulationSizeScaler13	2567	1285	1	0.0212766	0.63491	
generation 25000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5246	0	10	0.212766	none	
TimeSizeRateMixer	10652	9653	5	0.106383	0.195786	
TimeRootSizeMixer	5590	6645	3	0.0638298	0.188924	
EventTimeScaler	40854	35239	1	0.0212766	0.434829	
RootPopulationSizeScaler0	2473	2382	1	0.0212766	0.312874	
LeafPopulationSizeScaler0	3112	1754	1	0.0212766	1.23918	
RootPopulationSizeScaler1	2495	2371	1	0.0212766	0.309971	
LeafPopulationSizeScaler1	2667	2162	1	0.0212766	0.606314	
RootPopulationSizeScaler2	2534	2312	1	0.0212766	0.268491	
LeafPopulationSizeScaler2	2741	2147	1	0.0212766	0.447134	
RootPopulationSizeScaler3	2506	2323	1	0.0212766	0.294067	
LeafPopulationSizeScaler3	2968	1862	1	0.0212766	0.366299	
RootPopulationSizeScaler4	2528	2337	1	0.0212766	0.258258	
LeafPopulationSizeScaler4	2749	2078	1	0.0212766	0.431256	
RootPopulationSizeScaler5	2394	2446	1	0.0212766	0.310632	
LeafPopulationSizeScaler5	2995	1871	1	0.0212766	0.476375	
RootPopulationSizeScaler6	2568	2281	1	0.0212766	0.26846	
LeafPopulationSizeScaler6	2794	2092	1	0.0212766	0.488236	
RootPopulationSizeScaler7	2529	2333	1	0.0212766	0.283522	
LeafPopulationSizeScaler7	2929	1882	1	0.0212766	0.4351	
RootPopulationSizeScaler8	2535	2293	1	0.0212766	0.272961	
LeafPopulationSizeScaler8	2766	2071	1	0.0212766	0.552899	
RootPopulationSizeScaler9	2559	2340	1	0.0212766	0.295326	
LeafPopulationSizeScaler9	3051	1778	1	0.0212766	0.850998	
RootPopulationSizeScaler10	2540	2289	1	0.0212766	0.293929	
LeafPopulationSizeScaler10	3714	1094	1	0.0212766	0.558195	
RootPopulationSizeScaler11	2685	2157	1	0.0212766	0.283516	
LeafPopulationSizeScaler11	3061	1751	1	0.0212766	0.66431	
RootPopulationSizeScaler12	2474	2383	1	0.0212766	0.299223	
LeafPopulationSizeScaler12	2952	1861	1	0.0212766	0.591262	
RootPopulationSizeScaler13	2622	2210	1	0.0212766	0.27442	
LeafPopulationSizeScaler13	3150	1676	1	0.0212766	0.656582	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	6314	0	10	0.212766	none	
TimeSizeRateMixer	12514	11609	5	0.106383	0.197464	
TimeRootSizeMixer	6756	8202	3	0.0638298	0.188669	
EventTimeScaler	48632	42744	1	0.0212766	0.440329	
RootPopulationSizeScaler0	2929	2895	1	0.0212766	0.314828	
LeafPopulationSizeScaler0	3675	2162	1	0.0212766	1.27459	
RootPopulationSizeScaler1	2975	2873	1	0.0212766	0.312353	
LeafPopulationSizeScaler1	3179	2636	1	0.0212766	0.614752	
RootPopulationSizeScaler2	3017	2817	1	0.0212766	0.27094	
LeafPopulationSizeScaler2	3240	2628	1	0.0212766	0.453191	
RootPopulationSizeScaler3	2970	2819	1	0.0212766	0.296061	
LeafPopulationSizeScaler3	3542	2251	1	0.0212766	0.376445	
RootPopulationSizeScaler4	3006	2839	1	0.0212766	0.260705	
LeafPopulationSizeScaler4	3272	2534	1	0.0212766	0.438956	
RootPopulationSizeScaler5	2848	2958	1	0.0212766	0.312831	
LeafPopulationSizeScaler5	3548	2291	1	0.0212766	0.488324	
RootPopulationSizeScaler6	3105	2724	1	0.0212766	0.273666	
LeafPopulationSizeScaler6	3310	2544	1	0.0212766	0.497131	
RootPopulationSizeScaler7	2997	2826	1	0.0212766	0.285273	
LeafPopulationSizeScaler7	3467	2320	1	0.0212766	0.445081	
RootPopulationSizeScaler8	3029	2778	1	0.0212766	0.275903	
LeafPopulationSizeScaler8	3279	2536	1	0.0212766	0.560332	
RootPopulationSizeScaler9	3046	2826	1	0.0212766	0.298148	
LeafPopulationSizeScaler9	3637	2155	1	0.0212766	0.876146	
RootPopulationSizeScaler10	3008	2788	1	0.0212766	0.296478	
LeafPopulationSizeScaler10	4396	1384	1	0.0212766	0.585162	
RootPopulationSizeScaler11	3186	2632	1	0.0212766	0.287377	
LeafPopulationSizeScaler11	3603	2173	1	0.0212766	0.679815	
RootPopulationSizeScaler12	2925	2898	1	0.0212766	0.301111	
LeafPopulationSizeScaler12	3481	2297	1	0.0212766	0.603277	
RootPopulationSizeScaler13	3132	2685	1	0.0212766	0.27784	
LeafPopulationSizeScaler13	3701	2101	1	0.0212766	0.672621	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7358	0	10	0.212766	none	
TimeSizeRateMixer	14330	13526	5	0.106383	0.198741	
TimeRootSizeMixer	7832	9550	3	0.0638298	0.18887	
EventTimeScaler	56080	50096	1	0.0212766	0.444707	
RootPopulationSizeScaler0	3359	3405	1	0.0212766	0.315838	
LeafPopulationSizeScaler0	4190	2555	1	0.0212766	1.30117	
RootPopulationSizeScaler1	3431	3328	1	0.0212766	0.314503	
LeafPopulationSizeScaler1	3631	3097	1	0.0212766	0.619175	
RootPopulationSizeScaler2	3475	3296	1	0.0212766	0.272787	
LeafPopulationSizeScaler2	3684	3086	1	0.0212766	0.457373	
RootPopulationSizeScaler3	3402	3303	1	0.0212766	0.297339	
LeafPopulationSizeScaler3	4047	2676	1	0.0212766	0.38249	
RootPopulationSizeScaler4	3472	3299	1	0.0212766	0.262921	
LeafPopulationSizeScaler4	3763	2966	1	0.0212766	0.444198	
RootPopulationSizeScaler5	3330	3398	1	0.0212766	0.315888	
LeafPopulationSizeScaler5	4078	2686	1	0.0212766	0.498421	
RootPopulationSizeScaler6	3561	3186	1	0.0212766	0.275501	
LeafPopulationSizeScaler6	3814	2962	1	0.0212766	0.504627	
RootPopulationSizeScaler7	3431	3329	1	0.0212766	0.286745	
LeafPopulationSizeScaler7	4000	2705	1	0.0212766	0.454067	
RootPopulationSizeScaler8	3464	3266	1	0.0212766	0.277825	
LeafPopulationSizeScaler8	3746	2994	1	0.0212766	0.565523	
RootPopulationSizeScaler9	3492	3315	1	0.0212766	0.299472	
LeafPopulationSizeScaler9	4178	2543	1	0.0212766	0.893687	
RootPopulationSizeScaler10	3448	3257	1	0.0212766	0.298355	
LeafPopulationSizeScaler10	5045	1649	1	0.0212766	0.608279	
RootPopulationSizeScaler11	3665	3091	1	0.0212766	0.290413	
LeafPopulationSizeScaler11	4129	2563	1	0.0212766	0.693316	
RootPopulationSizeScaler12	3372	3362	1	0.0212766	0.303358	
LeafPopulationSizeScaler12	3984	2715	1	0.0212766	0.613606	
RootPopulationSizeScaler13	3586	3154	1	0.0212766	0.2794	
LeafPopulationSizeScaler13	4252	2487	1	0.0212766	0.687381	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8445	0	10	0.212766	none	
TimeSizeRateMixer	16284	15639	5	0.106383	0.199994	
TimeRootSizeMixer	8873	10829	3	0.0638298	0.18891	
EventTimeScaler	63875	57751	1	0.0212766	0.4486	
RootPopulationSizeScaler0	3818	3907	1	0.0212766	0.316962	
LeafPopulationSizeScaler0	4768	2930	1	0.0212766	1.32764	
RootPopulationSizeScaler1	3887	3844	1	0.0212766	0.315839	
LeafPopulationSizeScaler1	4102	3581	1	0.0212766	0.625108	
RootPopulationSizeScaler2	3924	3808	1	0.0212766	0.27369	
LeafPopulationSizeScaler2	4184	3559	1	0.0212766	0.461641	
RootPopulationSizeScaler3	3864	3782	1	0.0212766	0.299641	
LeafPopulationSizeScaler3	4580	3100	1	0.0212766	0.388259	
RootPopulationSizeScaler4	3947	3798	1	0.0212766	0.264464	
LeafPopulationSizeScaler4	4267	3438	1	0.0212766	0.449865	
RootPopulationSizeScaler5	3783	3889	1	0.0212766	0.317016	
LeafPopulationSizeScaler5	4604	3118	1	0.0212766	0.506103	
RootPopulationSizeScaler6	4031	3675	1	0.0212766	0.276987	
LeafPopulationSizeScaler6	4339	3405	1	0.0212766	0.511477	
RootPopulationSizeScaler7	3889	3829	1	0.0212766	0.287928	
LeafPopulationSizeScaler7	4558	3116	1	0.0212766	0.462007	
RootPopulationSizeScaler8	3918	3766	1	0.0212766	0.279292	
LeafPopulationSizeScaler8	4275	3418	1	0.0212766	0.573308	
RootPopulationSizeScaler9	3936	3830	1	0.0212766	0.300634	
LeafPopulationSizeScaler9	4724	2951	1	0.0212766	0.909501	
RootPopulationSizeScaler10	3923	3738	1	0.0212766	0.30062	
LeafPopulationSizeScaler10	5710	1951	1	0.0212766	0.628572	
RootPopulationSizeScaler11	4167	3541	1	0.0212766	0.292875	
LeafPopulationSizeScaler11	4673	2972	1	0.0212766	0.704611	
RootPopulationSizeScaler12	3836	3866	1	0.0212766	0.305379	
LeafPopulationSizeScaler12	4483	3160	1	0.0212766	0.622223	
RootPopulationSizeScaler13	4051	3644	1	0.0212766	0.281165	
LeafPopulationSizeScaler13	4803	2902	1	0.0212766	0.699223	
generation 45000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	9498	0	10	0.212766	none	
TimeSizeRateMixer	18241	17719	5	0.106383	0.20104	
TimeRootSizeMixer	10027	12252	3	0.0638298	0.188976	
EventTimeScaler	71616	65415	1	0.0212766	0.452027	
RootPopulationSizeScaler0	4256	4445	1	0.0212766	0.317618	
LeafPopulationSizeScaler0	5348	3335	1	0.0212766	1.35188	
RootPopulationSizeScaler1	4331	4360	1	0.0212766	0.316767	
LeafPopulationSizeScaler1	4569	4092	1	0.0212766	0.629135	
RootPopulationSizeScaler2	4398	4309	1	0.0212766	0.275065	
LeafPopulationSizeScaler2	4690	4031	1	0.0212766	0.465607	
RootPopulationSizeScaler3	4366	4260	1	0.0212766	0.301654	
LeafPopulationSizeScaler3	5133	3516	1	0.0212766	0.393931	
RootPopulationSizeScaler4	4460	4263	1	0.0212766	0.266744	
LeafPopulationSizeScaler4	4755	3916	1	0.0212766	0.453354	
RootPopulationSizeScaler5	4220	4417	1	0.0212766	0.318027	
LeafPopulationSizeScaler5	5135	3566	1	0.0212766	0.513601	
RootPopulationSizeScaler6	4496	4196	1	0.0212766	0.278412	
LeafPopulationSizeScaler6	4858	3879	1	0.0212766	0.515757	
RootPopulationSizeScaler7	4368	4340	1	0.0212766	0.289506	
LeafPopulationSizeScaler7	5090	3569	1	0.0212766	0.468264	
RootPopulationSizeScaler8	4384	4286	1	0.0212766	0.280703	
LeafPopulationSizeScaler8	4767	3891	1	0.0212766	0.578291	
RootPopulationSizeScaler9	4437	4316	1	0.0212766	0.302694	
LeafPopulationSizeScaler9	5251	3371	1	0.0212766	0.922645	
RootPopulationSizeScaler10	4415	4250	1	0.0212766	0.302186	
LeafPopulationSizeScaler10	6364	2275	1	0.0212766	0.645364	
RootPopulationSizeScaler11	4662	4017	1	0.0212766	0.295235	
LeafPopulationSizeScaler11	5220	3406	1	0.0212766	0.714144	
RootPopulationSizeScaler12	4296	4387	1	0.0212766	0.306141	
LeafPopulationSizeScaler12	5020	3597	1	0.0212766	0.630265	
RootPopulationSizeScaler13	4558	4110	1	0.0212766	0.283759	
LeafPopulationSizeScaler13	5385	3296	1	0.0212766	0.712123	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10523	0	10	0.212766	none	
TimeSizeRateMixer	20377	19854	5	0.106383	0.202408	
TimeRootSizeMixer	11116	13521	3	0.0638298	0.189337	
EventTimeScaler	79206	73055	1	0.0212766	0.454811	
RootPopulationSizeScaler0	4698	4980	1	0.0212766	0.318578	
LeafPopulationSizeScaler0	5912	3760	1	0.0212766	1.37131	
RootPopulationSizeScaler1	4809	4854	1	0.0212766	0.318003	
LeafPopulationSizeScaler1	5045	4601	1	0.0212766	0.632021	
RootPopulationSizeScaler2	4857	4827	1	0.0212766	0.275937	
LeafPopulationSizeScaler2	5160	4522	1	0.0212766	0.467772	
RootPopulationSizeScaler3	4827	4771	1	0.0212766	0.302897	
LeafPopulationSizeScaler3	5651	3972	1	0.0212766	0.397662	
RootPopulationSizeScaler4	4945	4755	1	0.0212766	0.268149	
LeafPopulationSizeScaler4	5282	4360	1	0.0212766	0.45797	
RootPopulationSizeScaler5	4680	4930	1	0.0212766	0.318832	
LeafPopulationSizeScaler5	5667	4008	1	0.0212766	0.519351	
RootPopulationSizeScaler6	4950	4712	1	0.0212766	0.27949	
LeafPopulationSizeScaler6	5365	4347	1	0.0212766	0.520289	
RootPopulationSizeScaler7	4828	4843	1	0.0212766	0.29037	
LeafPopulationSizeScaler7	5613	4018	1	0.0212766	0.473346	
RootPopulationSizeScaler8	4850	4778	1	0.0212766	0.281797	
LeafPopulationSizeScaler8	5271	4366	1	0.0212766	0.58321	
RootPopulationSizeScaler9	4915	4791	1	0.0212766	0.304371	
LeafPopulationSizeScaler9	5789	3804	1	0.0212766	0.9341	
RootPopulationSizeScaler10	4878	4775	1	0.0212766	0.303062	
LeafPopulationSizeScaler10	6977	2627	1	0.0212766	0.659602	
RootPopulationSizeScaler11	5153	4502	1	0.0212766	0.296997	
LeafPopulationSizeScaler11	5740	3858	1	0.0212766	0.721364	
RootPopulationSizeScaler12	4769	4897	1	0.0212766	0.307718	
LeafPopulationSizeScaler12	5507	4082	1	0.0212766	0.635147	
RootPopulationSizeScaler13	5058	4588	1	0.0212766	0.285998	
LeafPopulationSizeScaler13	5947	3710	1	0.0212766	0.722404	
generation 55000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11603	0	10	0.212766	none	
TimeSizeRateMixer	22368	22131	5	0.106383	0.203103	
TimeRootSizeMixer	12191	14896	3	0.0638298	0.189408	
EventTimeScaler	86877	80894	1	0.0212766	0.457384	
RootPopulationSizeScaler0	5152	5520	1	0.0212766	0.319516	
LeafPopulationSizeScaler0	6506	4170	1	0.0212766	1.3894	
RootPopulationSizeScaler1	5299	5358	1	0.0212766	0.319345	
LeafPopulationSizeScaler1	5569	5085	1	0.0212766	0.636813	
RootPopulationSizeScaler2	5308	5369	1	0.0212766	0.276463	
LeafPopulationSizeScaler2	5649	5045	1	0.0212766	0.470558	
RootPopulationSizeScaler3	5313	5258	1	0.0212766	0.304249	
LeafPopulationSizeScaler3	6221	4402	1	0.0212766	0.402292	
RootPopulationSizeScaler4	5443	5268	1	0.0212766	0.269544	
LeafPopulationSizeScaler4	5782	4846	1	0.0212766	0.460916	
RootPopulationSizeScaler5	5126	5479	1	0.0212766	0.319307	
LeafPopulationSizeScaler5	6208	4450	1	0.0212766	0.524203	
RootPopulationSizeScaler6	5419	5251	1	0.0212766	0.279957	
LeafPopulationSizeScaler6	5884	4822	1	0.0212766	0.524062	
RootPopulationSizeScaler7	5324	5341	1	0.0212766	0.29194	
LeafPopulationSizeScaler7	6180	4468	1	0.0212766	0.478269	
RootPopulationSizeScaler8	5336	5296	1	0.0212766	0.282853	
LeafPopulationSizeScaler8	5764	4876	1	0.0212766	0.585781	
RootPopulationSizeScaler9	5397	5323	1	0.0212766	0.305539	
LeafPopulationSizeScaler9	6365	4241	1	0.0212766	0.946324	
RootPopulationSizeScaler10	5379	5282	1	0.0212766	0.304973	
LeafPopulationSizeScaler10	7637	2960	1	0.0212766	0.673478	
RootPopulationSizeScaler11	5643	5015	1	0.0212766	0.298767	
LeafPopulationSizeScaler11	6262	4315	1	0.0212766	0.728088	
RootPopulationSizeScaler12	5222	5440	1	0.0212766	0.308411	
LeafPopulationSizeScaler12	6042	4534	1	0.0212766	0.641033	
RootPopulationSizeScaler13	5575	5067	1	0.0212766	0.287702	
LeafPopulationSizeScaler13	6520	4132	1	0.0212766	0.73215	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	12648	0	10	0.212766	none	
TimeSizeRateMixer	24410	24411	5	0.106383	0.203724	
TimeRootSizeMixer	13245	16167	3	0.0638298	0.189545	
EventTimeScaler	94529	88597	1	0.0212766	0.459715	
RootPopulationSizeScaler0	5648	6034	1	0.0212766	0.321111	
LeafPopulationSizeScaler0	7032	4629	1	0.0212766	1.40251	
RootPopulationSizeScaler1	5779	5860	1	0.0212766	0.320661	
LeafPopulationSizeScaler1	6073	5568	1	0.0212766	0.640363	
RootPopulationSizeScaler2	5746	5920	1	0.0212766	0.276848	
LeafPopulationSizeScaler2	6135	5559	1	0.0212766	0.472642	
RootPopulationSizeScaler3	5799	5766	1	0.0212766	0.305308	
LeafPopulationSizeScaler3	6766	4856	1	0.0212766	0.406027	
RootPopulationSizeScaler4	5947	5759	1	0.0212766	0.270662	
LeafPopulationSizeScaler4	6288	5330	1	0.0212766	0.463532	
RootPopulationSizeScaler5	5591	6000	1	0.0212766	0.320474	
LeafPopulationSizeScaler5	6744	4905	1	0.0212766	0.529939	
RootPopulationSizeScaler6	5871	5792	1	0.0212766	0.280559	
LeafPopulationSizeScaler6	6393	5291	1	0.0212766	0.527181	
RootPopulationSizeScaler7	5789	5857	1	0.0212766	0.292861	
LeafPopulationSizeScaler7	6696	4938	1	0.0212766	0.482234	
RootPopulationSizeScaler8	5809	5811	1	0.0212766	0.284007	
LeafPopulationSizeScaler8	6258	5386	1	0.0212766	0.589851	
RootPopulationSizeScaler9	5890	5832	1	0.0212766	0.307168	
LeafPopulationSizeScaler9	6924	4684	1	0.0212766	0.95727	
RootPopulationSizeScaler10	5878	5773	1	0.0212766	0.306333	
LeafPopulationSizeScaler10	8295	3297	1	0.0212766	0.687385	
RootPopulationSizeScaler11	6122	5527	1	0.0212766	0.299751	
LeafPopulationSizeScaler11	6799	4748	1	0.0212766	0.735301	
RootPopulationSizeScaler12	5713	5929	1	0.0212766	0.310167	
LeafPopulationSizeScaler12	6550	5022	1	0.0212766	0.64549	
RootPopulationSizeScaler13	6053	5561	1	0.0212766	0.289029	
LeafPopulationSizeScaler13	7056	4578	1	0.0212766	0.738304	
generation 65000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13687	0	10	0.212766	none	
TimeSizeRateMixer	26498	26651	5	0.106383	0.204524	
TimeRootSizeMixer	14363	17601	3	0.0638298	0.189467	
EventTimeScaler	102350	96468	1	0.0212766	0.4619	
RootPopulationSizeScaler0	6125	6559	1	0.0212766	0.321985	
LeafPopulationSizeScaler0	7581	5096	1	0.0212766	1.41305	
RootPopulationSizeScaler1	6239	6433	1	0.0212766	0.320924	
LeafPopulationSizeScaler1	6557	6092	1	0.0212766	0.643103	
RootPopulationSizeScaler2	6211	6451	1	0.0212766	0.277327	
LeafPopulationSizeScaler2	6647	6056	1	0.0212766	0.474951	
RootPopulationSizeScaler3	6289	6289	1	0.0212766	0.306326	
LeafPopulationSizeScaler3	7315	5305	1	0.0212766	0.409946	
RootPopulationSizeScaler4	6448	6287	1	0.0212766	0.271856	
LeafPopulationSizeScaler4	6793	5859	1	0.0212766	0.465919	
RootPopulationSizeScaler5	6065	6520	1	0.0212766	0.32117	
