genus,specific_epithet,museum_id,genbank_id,river,side,
Oligodon,albocinctus,CAS 221511,PQ359232.1,Chindwin,E,
Oligodon,albocinctus,CAS 221529,PQ359233.1,Chindwin,E,
Oligodon,albocinctus,CAS 225189,PQ359237.1,Chindwin,E,
Oligodon,albocinctus,CAS 233187,PQ359240.1,Chindwin,W,
Oligodon,albocinctus,CHS 850 (JK 201711) ,MK201568.1,Chindwin,E,
Oligodon,albocinctus,MZMU 2008,PQ359300.1,Chindwin,W,
Oligodon,albocinctus,ZMMU NAP-9561,PQ359318.1,Chindwin,E,
Oligodon,albocinctus,ZMMU NAP-9560,PQ359319.1,Chindwin,E,
