genus,specific_epithet,museum_id,genbank_id,river,side
Oligodon,albocinctus,CAS 221511,PQ324423.1,Chindwin,E
Oligodon,albocinctus,CAS 225189,PQ324428.1,Chindwin,E
Oligodon,albocinctus,CAS 233187,PQ324431.1,Chindwin,W
Oligodon,albocinctus,CHS 850 (JK 201711) ,MK194265.1,Chindwin,E
Oligodon,albocinctus,MZMU 1302,OP060994.1,Chindwin,W
Oligodon,albocinctus,MZMU 2008,PQ324496.1,Chindwin,W
Oligodon,albocinctus,ZMMU NAP-9561,PQ324514.1,Chindwin,E
Oligodon,albocinctus,ZMMU NAP-9560,PQ324515.1,Chindwin,E
