genus,specific_epithet,museum_id,genbank_id,river,side,
Lycodon,neomaculatus,KIZ 014158=CHS838,MK201560.1,Red,S,
Lycodon,neomaculatus,SyS r001430=CHS734,MK201493,Red,N,
Lycodon,neomaculatus,KIZ 2023031,Or823824,Red,S,
Lycodon,neomaculatus,KIZ 2023032,Or823825,Red,N,
Lycodon,neomaculatus,KIZ 2023034,Or823826,Red,S,
