genus,specific_epithet,museum_id,genbank_id,river,side,
Lycodon,neomaculatus,CAS 229726,PQ212885.1,Chao Phraya,W,C-W
Lycodon,neomaculatus,CAS:245971,PQ212887.1,Chao Phraya,W,C-W
Lycodon,neomaculatus,CHS838,MK201560.1,Chao Phraya,E,"M-W, C-E"
Lycodon,neomaculatus,KU:328531,KC010383.1,Chao Phraya,E,"M-W, C-E"
Lycodon,neomaculatus,CAS 229726,PQ212885,Chao Phraya,W,C-W
Lycodon,neomaculatus,CAS 245971,PQ212887,Chao Phraya,W,C-W
