genus,specific_epithet,museum_id,genbank_id,river,side,
Microhyla,mukhlesuri,KIZ04090,KU882358,Mekong,W,
Microhyla,mukhlesuri,KIZ04194,KU882361,Mekong,W,
Microhyla,mukhlesuri,KIZ04175,KU882362,Mekong,W,
Microhyla,mukhlesuri,KIZ04163,KU882364,Mekong,W,
Microhyla,mukhlesuri,KIZ046821,KU882368,Mekong,E,
Microhyla,mukhlesuri,KIZ046824,KU882369,Mekong,E,
Microhyla,mukhlesuri,Tissue ID: LC0805063,KU882376,Mekong,W,
Microhyla,mukhlesuri,KIZYN0705115,KU882377,Mekong,E,
Microhyla,mukhlesuri,KIZYN0705116,KU882378,Mekong,E,
Microhyla,mukhlesuri,KIZYN0705148,KU882382,Mekong,E,
