genus,specific_epithet,museum_id,genbank_id,river,side,
Microlytta,nigromaculata,DTU304,MH756156.1,Red,S,
Microlytta,nigromaculata,DTU303,MH756155.1,Red,S,
Microlytta,nigromaculata,DTU301,MH756154.1,Red,S,
Microlytta,nigromaculata,ZMMUA5946,MH756151.1,Red,N,
Microlytta,nigromaculata,ZMMUA5947,MH756148.1,Red,N,
Microlytta,nigromaculata,ZMMUA5942,MH756153.1,Red,N,
Microlytta,nigromaculata,ZMMUA5940,MH756152.1,Red,N,
Microlytta,nigromaculata,ZMMUA5934,MH756150.1,Red,N,
Microlytta,nigromaculata,ZMMUA5937,MH756149.1,Red,N,
