genus,specific_epithet,museum_id,genbank_id,river,side,
Microhyla,mukhlesuri,KIZ04090,KU882598,Mekong,W,
Microhyla,mukhlesuri,KIZ04194,KU882599,Mekong,W,
Microhyla,mukhlesuri,KIZ04175,KU882600,Mekong,W,
Microhyla,mukhlesuri,KIZ04163,KU882601,Mekong,W,
Microhyla,mukhlesuri,KIZ046821,KU882604,Mekong,E,
Microhyla,mukhlesuri,KIZ046824,KU882605,Mekong,E,
Microhyla,mukhlesuri,KIZYN0705115,KU882609,Mekong,E,
Microhyla,mukhlesuri,KIZYN0705116,KU882610,Mekong,E,
Microhyla,mukhlesuri,KIZYN0705148,KU882612,Mekong,E,
