genus,specific_epithet,museum_id,genbank_id,river,side,
Ichtyophis,nguyenorum,ZMMU:NAP-00831,KP264598.1,Mekong,E,
Ichtyophis,nguyenorum,ZMMU:NAP-01607,KP264597.1,Mekong,E,
Ichtyophis,nguyenorum,ZMMU:NAP-03588,KP264596.1,Mekong,E,
Ichtyophis,nguyenorum,IEBR 1518,KP264599.1,Mekong,E,
Ichtyophis,cardamomensis,LSUHC:9335,KP264594.1,Mekong,W,
Ichtyophis,cardamomensis,LSUHC:10106,KP264595.1,Mekong,W,
