generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1620	0	10	0.322581	none	
TimeSizeRateMixer	2467	1822	5	0.16129	0.194751	
TimeRootSizeMixer	1398	1205	3	0.0967742	0.174475	
EventTimeScaler	10018	6022	1	0.0322581	0.445148	
RootPopulationSizeScaler0	813	699	1	0.0322581	0.286456	
LeafPopulationSizeScaler0	1051	437	1	0.0322581	0.825638	
RootPopulationSizeScaler1	793	687	1	0.0322581	0.275643	
LeafPopulationSizeScaler1	935	536	1	0.0322581	0.565279	
RootPopulationSizeScaler2	831	677	1	0.0322581	0.209695	
LeafPopulationSizeScaler2	876	616	1	0.0322581	0.216021	
RootPopulationSizeScaler3	1023	478	1	0.0322581	0.0993045	
LeafPopulationSizeScaler3	912	574	1	0.0322581	0.179015	
RootPopulationSizeScaler4	858	639	1	0.0322581	0.277009	
LeafPopulationSizeScaler4	1224	275	1	0.0322581	0.651769	
RootPopulationSizeScaler5	865	624	1	0.0322581	0.254773	
LeafPopulationSizeScaler5	870	623	1	0.0322581	0.305869	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3259	0	10	0.322581	none	
TimeSizeRateMixer	4619	3907	5	0.16129	0.204208	
TimeRootSizeMixer	2629	2525	3	0.0967742	0.180701	
EventTimeScaler	18970	13111	1	0.0322581	0.485132	
RootPopulationSizeScaler0	1498	1487	1	0.0322581	0.293571	
LeafPopulationSizeScaler0	1938	1007	1	0.0322581	0.935499	
RootPopulationSizeScaler1	1543	1405	1	0.0322581	0.288712	
LeafPopulationSizeScaler1	1748	1202	1	0.0322581	0.614559	
RootPopulationSizeScaler2	1595	1387	1	0.0322581	0.222194	
LeafPopulationSizeScaler2	1635	1337	1	0.0322581	0.229673	
RootPopulationSizeScaler3	1954	1013	1	0.0322581	0.112391	
LeafPopulationSizeScaler3	1761	1199	1	0.0322581	0.197461	
RootPopulationSizeScaler4	1600	1332	1	0.0322581	0.289707	
LeafPopulationSizeScaler4	2291	671	1	0.0322581	0.792101	
RootPopulationSizeScaler5	1636	1321	1	0.0322581	0.271073	
LeafPopulationSizeScaler5	1654	1312	1	0.0322581	0.327165	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4894	0	10	0.322581	none	
TimeSizeRateMixer	6730	5947	5	0.16129	0.209696	
TimeRootSizeMixer	3887	3880	3	0.0967742	0.184149	
EventTimeScaler	27862	20359	1	0.0322581	0.507776	
RootPopulationSizeScaler0	2252	2210	1	0.0322581	0.302023	
LeafPopulationSizeScaler0	2809	1598	1	0.0322581	1.00028	
RootPopulationSizeScaler1	2230	2180	1	0.0322581	0.292437	
LeafPopulationSizeScaler1	2556	1853	1	0.0322581	0.643985	
RootPopulationSizeScaler2	2318	2135	1	0.0322581	0.225804	
LeafPopulationSizeScaler2	2426	2003	1	0.0322581	0.239394	
RootPopulationSizeScaler3	2776	1658	1	0.0322581	0.118709	
LeafPopulationSizeScaler3	2608	1824	1	0.0322581	0.208487	
RootPopulationSizeScaler4	2358	2059	1	0.0322581	0.297684	
LeafPopulationSizeScaler4	3275	1155	1	0.0322581	0.873545	
RootPopulationSizeScaler5	2375	2052	1	0.0322581	0.278585	
LeafPopulationSizeScaler5	2425	2003	1	0.0322581	0.338231	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	6527	0	10	0.322581	none	
TimeSizeRateMixer	8928	8196	5	0.16129	0.212818	
TimeRootSizeMixer	5065	5167	3	0.0967742	0.185875	
EventTimeScaler	36405	28046	1	0.0322581	0.521558	
RootPopulationSizeScaler0	3007	2978	1	0.0322581	0.307363	
LeafPopulationSizeScaler0	3699	2204	1	0.0322581	1.04798	
RootPopulationSizeScaler1	2949	2969	1	0.0322581	0.295197	
LeafPopulationSizeScaler1	3283	2620	1	0.0322581	0.656137	
RootPopulationSizeScaler2	3018	2921	1	0.0322581	0.228359	
LeafPopulationSizeScaler2	3183	2756	1	0.0322581	0.243299	
RootPopulationSizeScaler3	3606	2345	1	0.0322581	0.123042	
LeafPopulationSizeScaler3	3454	2506	1	0.0322581	0.216024	
RootPopulationSizeScaler4	3127	2789	1	0.0322581	0.302834	
LeafPopulationSizeScaler4	4255	1675	1	0.0322581	0.930767	
RootPopulationSizeScaler5	3137	2794	1	0.0322581	0.284049	
LeafPopulationSizeScaler5	3160	2749	1	0.0322581	0.344839	
generation 25000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8122	0	10	0.322581	none	
TimeSizeRateMixer	10958	10286	5	0.16129	0.215314	
TimeRootSizeMixer	6318	6503	3	0.0967742	0.1878	
EventTimeScaler	44759	35358	1	0.0322581	0.532109	
RootPopulationSizeScaler0	3726	3710	1	0.0322581	0.310856	
LeafPopulationSizeScaler0	4545	2823	1	0.0322581	1.078	
RootPopulationSizeScaler1	3646	3726	1	0.0322581	0.297607	
LeafPopulationSizeScaler1	4023	3357	1	0.0322581	0.668262	
