generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_E1	ln_likelihood_E1	ln_prior_E1	root_height_E1	mutation_rate_E1	freq_1_E1	pop_size_E1	pop_size_W1	pop_size_root_E1	root_height_index_W2	ln_likelihood_W2	ln_prior_W2	root_height_W2	mutation_rate_W2	freq_1_W2	pop_size_W2	pop_size_E2	pop_size_root_W2	root_height_index_W3	ln_likelihood_W3	ln_prior_W3	root_height_W3	mutation_rate_W3	freq_1_W3	pop_size_W3	pop_size_E3	pop_size_root_W3	root_height_index_W6	ln_likelihood_W6	ln_prior_W6	root_height_W6	mutation_rate_W6	freq_1_W6	pop_size_W6	pop_size_E6	pop_size_root_W6	root_height_index_W8	ln_likelihood_W8	ln_prior_W8	root_height_W8	mutation_rate_W8	freq_1_W8	pop_size_W8	pop_size_E8	pop_size_root_W8	root_height_index_E	ln_likelihood_E	ln_prior_E	root_height_E	mutation_rate_E	freq_1_E	pop_size_E	pop_size_W	pop_size_root_E
0	-19390.4782180181719	87.8920195596053588	6	7.5	0	-331.261997619396141	12.1882767885485208	0.00764962342329970641	1	0.5	0.00287545567120403535	0.00287545567120403535	0.00279290964313816349	1	-764.201557359288813	10.3421871310801308	0.00257166415467804553	1	0.5	0.005386316576691981	0.005386316576691981	0.00594555917192127973	2	-4610.39838116456667	11.5042582002090086	0.00538557784026309511	1	0.5	0.00363464044051447924	0.00363464044051447924	0.00400532772659062831	3	-9336.67501391970836	10.669822960206929	0.0177458001896478833	1	0.5	0.0014261955111741166	0.0014261955111741166	0.00150986606994041339	4	-568.856871621418577	11.5127710708063091	0.00874275040424202232	1	0.5	0.00370617263991213086	0.00370617263991213086	0.00329428532879540636	5	-3779.08439633379476	11.9776152736935586	0.0208809758342219237	1	0.5	0.00298501783433691376	0.00298501783433691376	0.00275669515390182139
50	-19230.2304867250896	70.594267040350843	4	7.5	0	-328.880025799538032	12.1910879635648826	0.0053558577212905684	1	0.5	0.00283159213146084998	0.00276670209298976715	0.00280158427838231262	1	-758.361877917031393	11.4439223667988372	0.00667225076253872076	1	0.5	0.00430693861082680814	0.00483735159925367982	0.00477266979791396428	1	-4571.18648002720511	8.04831083743834341	0.00667225076253872076	1	0.5	0.00430432060940796456	0.00425597013282372205	0.00551023558072008882	0	-9255.9754669095073	8.10889953965888566	0.0053558577212905684	1	0.5	0.0015622287842463813	0.00164098870995408219	0.00201854888353137458	2	-562.405346388257158	11.4084285905046556	0.00338668452383255898	1	0.5	0.00312463632030142652	0.00378082787762658214	0.00302401934629226155	3	-3753.42128968354973	12.1172898474450683	0.0393677371092911385	1	0.5	0.00341942367958824114	0.00277982392158994092	0.00317566616612232049
100	-19108.3786961065925	64.9419182740387271	5	7.5	0	-326.15004933942356	11.6603203869801	0.00293947788203290268	1	0.5	0.00275385130087915566	0.00280403592043337738	0.00247526377096810024	1	-758.135310765595932	11.2231603775885453	0.00511782120450472288	1	0.5	0.00435082999957165338	0.00459788340622379471	0.00485836115251156008	2	-4551.99406506557898	1.49316918059111003	0.00915318917657160364	1	0.5	0.00512360789994645814	0.0044117505031591453	0.00716295950036764748	1	-9158.29520583437625	3.22439540578749018	0.00511782120450472288	1	0.5	0.00177858492293287438	0.00174952192438569058	0.0025607974538646599	3	-561.462044534298229	11.9998132343955959	0.00272072091309323973	1	0.5	0.00280214398962110164	0.00370174814193177182	0.00305500322292808803	4	-3752.34202056732101	11.9490641849571411	0.039895376918068215	1	0.5	0.00345764813985079697	0.00289051530065443903	0.00293357720003045198
150	-18943.0134639702301	54.5370862991658285	5	7.5	0	-325.359701873395579	11.887270404249918	0.000972625179889776434	1	0.5	0.00247016365721732705	0.00259329261705053314	0.00233565973427304376	1	-758.046763281476274	10.2185933189317097	0.00574851040080133231	1	0.5	0.00456291328933592852	0.00417499489478258094	0.00361436346654796063	2	-4538.02804777701385	2.38913314395859189	0.00852182530588054162	1	0.5	0.00613543268224190155	0.00494270403396965957	0.00806092110002134925	1	-9010.47882169275726	-6.6297982361098633	0.00574851040080133231	1	0.5	0.00217392383137003523	0.00182701073222556816	0.00344416773435635886	3	-566.46631915175135	12.0243342903362311	0.00697482133671144169	1	0.5	0.00316291858965707948	0.00368300230543783507	0.00355487567339844972	4	-3744.63381019383451	11.5237382820140724	0.0402906079505233328	1	0.5	0.00376980188922913274	0.00340143395444041661	0.00317971209758010709
200	-18784.295386184669	51.6168441870505248	5	7.5	0	-323.558778526483877	11.8640669890934198	0.00196529777036906755	1	0.5	0.00189411104674922664	0.00242182490914488995	0.00210672601170229339	1	-758.196981311089644	9.77034602330992996	0.00655099983349386687	1	0.5	0.00716078451315771414	0.00357936857986131682	0.00465328445295534656	2	-4524.23981918490063	3.29589786905145843	0.00959959665475195074	1	0.5	0.00661056407362012582	0.00630709036816861929	0.00902091126474531199	3	-8886.44407777037668	-8.92671436096231119	0.0060795902058306938	1	0.5	0.00268616879235302223	0.00234024532879969225	0.00448001150708269083	0	-557.273315796771385	10.5064891243458653	0.00196529777036906755	1	0.5	0.00259759688131051391	0.00305804955403254052	0.00231567405235318666	4	-3734.58241359504427	11.6290417436093101	0.0347738886811840842	1	0.5	0.0043068835799993611	0.00350246325605621306	0.00356195570892884651
250	-18606.7606568622432	61.5878925760616127	6	7.5	0	-324.022986330318645	11.6840464836820352	0.000706239306650220948	1	0.5	0.00189345718885744799	0.00204989132782195955	0.00202128409248344618	1	-759.463960688026646	10.2023066806933791	0.00801308091301524208	1	0.5	0.0077130710211523552	0.00394086712210994176	0.00570270387858752472	2	-4516.56574911938515	6.25780574471220064	0.0138614550606536331	1	0.5	0.0073803794591473116	0.00846839696673597556	0.00949269490243061925	3	-8731.63782919889491	-6.7062664975812325	0.0091863357137613802	1	0.5	0.00363440702723301758	0.0029208557541387137	0.00567924245031440136	4	-555.392190889351241	11.9554977212345861	0.00239624468227453945	1	0.5	0.00232609143506312416	0.002232658104720865	0.00232737335499225888	5	-3719.67794063626752	9.79623129285500838	0.0418012060159502902	1	0.5	0.00521696459107328335	0.00390568074664397269	0.00372028326227944557
300	-18500.3685046418977	48.451567755184783	5	7.5	0	-321.968084919499177	11.4102673075261869	0.00135492072383272544	1	0.5	0.00162131284405586293	0.0019511532181778527	0.00169320189822188064	1	-758.589257254456925	10.9516766770364455	0.00512708736913317521	1	0.5	0.00547818175354771331	0.00458107369832187576	0.00536116807539708997	2	-4511.49374734567937	4.34452884207845003	0.0116925760352934033	1	0.5	0.00717635109588480712	0.00990473749307288834	0.0107050133031668729	3	-8644.14652432089861	-9.92852339617667212	0.0116573369773238667	1	0.5	0.00423821954776646987	0.00331173027402460393	0.00680409957755023342	0	-555.368712517977315	11.7676770833509998	0.00135492072383272544	1	0.5	0.00258495162373085455	0.00194086223935161146	0.00211346979563895249	4	-3708.80217828338664	8.38514009571528263	0.0487066085695340295	1	0.5	0.00614180246804674375	0.00370298420453014313	0.00381072782203822121
350	-18205.1523863463517	16.6339001414615808	5	7.5	0	-322.126167366303662	10.5440498421760189	0.00290910465012582777	1	0.5	0.00165245590386089384	0.00144041635654070638	0.00170341208211829509	1	-758.801052983924365	10.5668068803312671	0.0055887185777051809	1	0.5	0.00379304027294352945	0.0052764764628903827	0.00514850846267505234	2	-4509.44396133147529	3.1794262330222125	0.0150699604862494559	1	0.5	0.00729681736544314074	0.0114681505538407544	0.0117472875521217671	3	-8368.54668344551828	-39.4649345873087469	0.0124318568614339205	1	0.5	0.00638694055261194472	0.0033227571047814014	0.0114191518518219921	0	-550.543602584283349	10.9293379609228616	0.00290910465012582777	1	0.5	0.00189268344658725029	0.00164760805393712934	0.00157226496599098629	4	-3695.69091863484755	9.30103612255116019	0.0419651236584756351	1	0.5	0.00852934572903841018	0.00317480270074230967	0.00640224578363524869
400	-18044.1180330784773	5.77894941936101425	6	7.5	0	-325.020430186042915	10.896327379661269	0.00447562073102163085	1	0.5	0.00105893714972538338	0.00226172904121704679	0.00160854163899398685	1	-759.109889740526796	11.0659505925067947	0.00558745996443721447	1	0.5	0.00291479213369965576	0.00468366429042990466	0.00425891172168277928	2	-4508.65507587781576	2.25615017922887873	0.0128339237517648991	1	0.5	0.00569051897474285792	0.0122287958455579143	0.0117002232775491825	3	-8210.71921293225569	-53.8378226972987193	0.0152003587708787122	1	0.5	0.00853788899341853882	0.0037637268003974109	0.0158083232434877152	4	-546.573362965660181	10.0308768629958962	0.00274194117329635721	1	0.5	0.00138598909081725022	0.00106926667242458772	0.00112112856624167821	5	-3694.04006137617398	8.53815763823787321	0.050814874165272611	1	0.5	0.00961342419922394699	0.00304073077885523135	0.00694957872783844282
450	-17827.4188672981218	34.9301235528791381	6	7.5	0	-320.64588195275536	10.0460185210860082	0.00116310866718933757	1	0.5	0.000747790208473545306	0.00197188708757253155	0.00131990008649882974	1	-759.7533061341436	10.7004368095923468	0.00525202475932595725	1	0.5	0.00321300804915673668	0.00596936586019761618	0.00506357674110927483	2	-4511.55276870861962	2.17825529954335906	0.00967993218013335315	1	0.5	0.0049749653151928315	0.00991970248637906796	0.0103101209908436717	3	-7994.61176632538081	-23.1285035515207653	0.0357937983138362364	1	0.5	0.0184126868213764713	0.00551366690346023671	0.0222808580421787715	4	-544.076343457275698	8.88907584426570452	0.00263461940622988213	1	0.5	0.00104279477715773627	0.000686921836431830216	0.000857640230720610268	5	-3696.77880071994423	9.85252218265444313	0.0415006053976665346	1	0.5	0.008309287707469519	0.00336219891879566916	0.00602115199413173763
